Date,Event Name,Placement,Earning,int earning,Ranking,Buy-in,Earning increment
1997-08-04,"$ 200 + 25 Limit Hold'emHeavenly Hold'em, Los Angeles",1st,"$ 10,632",10632,1,200.0,10632
1997-12-01,"$ 100 + 20 7 Card Stud1997 World Poker Finals, Mashantucket",6th,"$ 12,530",12530,6,100.0,23162
1997-12-09,"$ 1,500 + 80 Limit Hold'em1997 World Poker Finals, Mashantucket",1st,"$ 17,500",17500,1,1500.0,40662
1998-02-13,"$ 300 + 30 No Limit Hold'em1998 L.A. Poker Classic, Los Angeles",6th,"$ 20,219",20219,6,300.0,60881
1998-06-01,"$ 300 Limit Hold'emCalifornia State Poker Championship 1998, Los Angeles",1st,"$ 15,026",15026,1,300.0,75907
1998-07-25,"$ 230 Limit Hold'em1998 Orleans Open, Las Vegas",3rd,"$ 101,149",101149,3,230.0,177056
1998-08-06,"$ 300 + 30 No Limit Hold'em1998 Heavenly Hold'em, Los Angeles",9th,"$ 11,723",11723,9,300.0,188779
1999-02-14,"$ 500 + 40 Omaha Hi/Lo SplitLA Poker Classic VIII, Los Angeles",4th,"$ 18,800",18800,4,500.0,207579
1999-02-27,"$ 1,000 + 60 7 Card StudLA Poker Classic VIII, Los Angeles",8th,"$ 2,664",2664,8,1000.0,210243
1999-03-01,"$ 200 Omaha Hi/Lo Split1999 Winnin' o' the Green, Los Angeles (Bell Gardens)",1st,"$ 38,400",38400,1,200.0,248643
1999-06-25,"$ 1,000 + 60 No Limit Hold'em ChampionshipCalifornia State Poker Championship 1999, Los Angeles",3rd,"$ 3,685",3685,3,1000.0,252328
1999-08-15,"$ 500 + 40 7 Card Stud Hi-Lo1999 Legends of Poker, Los Angeles (Bell Gardens)",7th,"$ 40,320",40320,7,500.0,292648
1999-08-28,"$ 1,000 + 60 7 Card Stud1999 Legends of Poker, Los Angeles (Bell Gardens)",2nd,"$ 6,572",6572,2,1000.0,299220
1999-12-06,"$ 500 + 40 Omaha Hi-Lo Split1999 United States Poker Championship, Atlantic City",5th,"$ 1,206",1206,5,500.0,300426
1999-12-11,"$ 1,000 + 60 Omaha Hi-Lo Split1999 United States Poker Championship, Atlantic City",6th,"$ 2,295",2295,6,1000.0,302721
2000-12-04,"$ 500 + 40 Omaha Hi-Lo Split2000 United States Poker Championship, Atlantic City",7th,"$ 5,810",5810,7,500.0,308531
2000-12-12,"$ 500 + 40 No Limit Hold'em2000 United States Poker Championship, Atlantic City",3rd,"$ 1,050",1050,3,500.0,309581
2001-01-11,"$ 300 + 30 Limit 7 Card Stud Hi/Lo1st Annual World Poker Challenge, Reno",1st,"$ 1,920",1920,1,300.0,311501
2001-01-25,"$ 5,000 + 80 No Limit Hold'em Championship1st Annual World Poker Challenge, Reno",3rd,$ 680,680,3,5000.0,312181
2001-02-04,"$ 300 + 30 Omaha Hi/Lo2001 L.A. Poker Classic, Los Angeles",9th,"$ 8,960",8960,9,300.0,321141
2001-02-18,"$ 1,000 + 60 HORSE2001 L.A. Poker Classic, Los Angeles",5th,"$ 14,000",14000,5,1000.0,335141
2001-02-23,"$ 300 + 30 Limit Hold'em2001 L.A. Poker Classic, Los Angeles",8th,"$ 13,900",13900,8,300.0,349041
2001-04-05,"$ 1,000 + 60 Pot Limit Hold'emThe Second Annual Jack Binion World Poker Open, Tunica",2nd,"$ 2,715",2715,2,1000.0,351756
2001-05-02,"$ 1,500 + 90 Razz32nd World Series of Poker - WSOP 2001, Las Vegas",4th,"$ 1,750",1750,4,1500.0,353506
2001-05-14,"$ 10,000 Championship Event - No Limit Hold'em32nd World Series of Poker - WSOP 2001, Las Vegas",11th,"$ 169,460",169460,11,10000.0,522966
2001-06-05,"ATS 34,400 + 1,650 World Heads Up Poker Championships FinalsAustrian Masters 2001, Vienna Simmering",17th,"$ 14,950",14950,17,34400.0,537916
2001-08-20,"$ 1,000 + 60 Omaha Hi-Lo2001 Legends of Poker, Los Angeles (Bell Gardens)",5th,"$ 18,490",18490,5,1000.0,556406
2001-08-23,"$ 1,000 + 60 7 Card Stud2001 Legends of Poker, Los Angeles (Bell Gardens)",1st,"$ 2,767",2767,1,1000.0,559173
2001-09-12,"$ 500 + 40 Omaha Eight or Better2001 Four Queens Poker Classic, Las Vegas",1st,"$ 33,078",33078,1,500.0,592251
2001-09-19,"$ 1,000 + 60 No Limit Hold'em2001 Four Queens Poker Classic, Las Vegas",8th,"$ 3,015",3015,8,1000.0,595266
2001-10-28,"$ 300 + 40 No Limit Hold'em2001 World Poker Finals, Mashantucket",1st,"$ 1,245",1245,1,300.0,596511
2001-11-27,"$ 300 + 30 Seven Card Stud2001 United States Poker Championship, Atlantic City",8th,"$ 1,875",1875,8,300.0,598386
2001-11-28,"$ 300 + 30 No Limit Hold'em2001 United States Poker Championship, Atlantic City",7th,"$ 23,940",23940,7,300.0,622326
2001-12-02,"$ 500 + 40 No Limit Hold'em2001 United States Poker Championship, Atlantic City",2nd,"$ 22,503",22503,2,500.0,644829
2002-02-08,"$ 500 + 40 Pot Limit Omaha2002 L.A. Poker Classic, Los Angeles",17th,"$ 2,400",2400,17,500.0,647229
2002-02-09,"$ 1,500 + 70 Limit Hold'em2002 L.A. Poker Classic, Los Angeles",14th,"$ 1,220",1220,14,1500.0,648449
2002-02-13,"$ 500 + 40 Pot Limit Hold'em2002 L.A. Poker Classic, Los Angeles",1st,"$ 5,605",5605,1,500.0,654054
2002-02-15,"$ 300 + 30 Limit Hold'em2002 L.A. Poker Classic, Los Angeles",2nd,"$ 6,312",6312,2,300.0,660366
2002-02-19,"$ 1,000 + 60 Omaha Hi/Lo2002 L.A. Poker Classic, Los Angeles",1st,"$ 5,580",5580,1,1000.0,665946
2002-02-22,"$ 300 + 30 Limit Hold'em2002 L.A. Poker Classic, Los Angeles",10th,"$ 12,570",12570,10,300.0,678516
2002-04-07,"$ 1,500 + 60 No Limit Hold'emBay 101 Shooting Star, San Jose",9th,"$ 20,400",20400,9,1500.0,698916
2002-05-07,"$ 2,500 Omaha Hi/Lo Split33rd World Series of Poker - WSOP 2002, Las Vegas",11th,$ 496,496,11,2500.0,699412
2002-05-12,"$ 1,500 Limit Hold'em Shootout33rd World Series of Poker - WSOP 2002, Las Vegas",8th,"$ 17,250",17250,8,1500.0,716662
2002-05-15,"$ 5,000 Omaha Hi/Lo Split33rd World Series of Poker - WSOP 2002, Las Vegas",2nd,"$ 22,000",22000,2,5000.0,738662
2002-06-15,"$ 500 + 40 Omaha Hi/Lo / Hold'emCalifornia State Poker Championship 2002, Los Angeles",6th,"$ 1,000",1000,6,500.0,739662
2002-06-28,"$ 10 No Limit Hold'em - Daniel Negreanu Challenge Linda Johnson Celebrity Challenge 2002, San Jose",4th,"$ 2,182",2182,4,10.0,741844
2002-06-30,"$ 500 No Limit Hold'em Championship - Linda Johnson Challenge Linda Johnson Celebrity Challenge 2002, San Jose",1st,"$ 20,700",20700,1,500.0,762544
2002-08-04,"$ 300 + 30 7-Card Stud Hi/Lo2002 Legends of Poker, Los Angeles (Bell Gardens)",1st,"$ 1,568",1568,1,300.0,764112
2002-08-12,"$ 500 + 40 Omaha Hi/Lo2002 Legends of Poker, Los Angeles (Bell Gardens)",1st,"$ 210,000",210000,1,500.0,974112
2002-08-17,"$ 1,000 + 60 No Limit Hold'em2002 Legends of Poker, Los Angeles (Bell Gardens)",1st,"$ 19,300",19300,1,1000.0,993412
2002-08-31,"$ 1,000 Limit Hold'emHall of Fame Poker Classic 2002, Las Vegas",1st,"$ 8,200",8200,1,1000.0,1001612
2002-09-04,"$ 1,500 No Limit Hold'emHall of Fame Poker Classic 2002, Las Vegas",9th,"$ 15,390",15390,9,1500.0,1017002
2002-09-11,"$ 2,500 Limit Hold'emHall of Fame Poker Classic 2002, Las Vegas",1st,"$ 82,935",82935,1,2500.0,1099937
2002-09-30,"$ 1,000 Limit Hold'em2002 Four Queens Poker Classic, Las Vegas",2nd,"$ 84,987",84987,2,1000.0,1184924
2002-10-17,"$ 10 No Limit Hold'emCosta Rica Classic, San Jose",8th,"$ 5,160",5160,8,10.0,1190084
2002-10-29,"$ 300 + 40 Seven Card Stud2002 World Poker Finals, Mashantucket",10th,"$ 5,119",5119,10,300.0,1195203
2002-12-02,"$ 1,000 + 60 Limit Hold'emBellagio Five Diamond Poker Classic - 2002, Las Vegas",14th,"$ 22,698",22698,14,1000.0,1217901
2002-12-04,"$ 1,000 + 60 Pot Limit Hold'emBellagio Five Diamond Poker Classic - 2002, Las Vegas",6th,"$ 4,060",4060,6,1000.0,1221961
2003-01-23,"$ 1,000 + 60 Omaha Hi/LoThe Fourth Annual Jack Binion World Poker Open, Tunica",12th,"$ 63,940",63940,12,1000.0,1285901
2003-02-02,"$ 500 + 40 Omaha Hi/Lo2003 L.A. Poker Classic, Los Angeles",19th,"$ 85,400",85400,19,500.0,1371301
2003-02-03,"$ 500 + 40 No Limit Hold'em2003 L.A. Poker Classic, Los Angeles",13th,"$ 3,685",3685,13,500.0,1374986
2003-02-07,"$ 500 + 40 Pot Limit Omaha2003 L.A. Poker Classic, Los Angeles",1st,"$ 3,095",3095,1,500.0,1378081
2003-02-17,"$ 1,000 + 60 Seven Card Stud2003 L.A. Poker Classic, Los Angeles",13th,"$ 16,684",16684,13,1000.0,1394765
2003-04-17,"$ 1,500 Seven Card Stud34th World Series of Poker - WSOP 2003, Las Vegas",13th,"$ 22,560",22560,13,1500.0,1417325
2003-05-03,"$ 2,000 Pot Limit Hold'em34th World Series of Poker - WSOP 2003, Las Vegas",6th,"$ 35,260",35260,6,2000.0,1452585
2003-05-07,"$ 2,000 S.H.O.E.34th World Series of Poker - WSOP 2003, Las Vegas",1st,"$ 44,800",44800,1,2000.0,1497385
2003-05-15,"$ 3,000 No Limit Hold'em34th World Series of Poker - WSOP 2003, Las Vegas",2nd,"$ 1,920",1920,2,3000.0,1499305
2003-07-10,"€ 10,000 Grand Prix de Paris / WPTSummer Tournament 2003, Paris",7th,"$ 2,380",2380,7,10000.0,1501685
2003-08-07,"$ 300 + 30 No Limit Hold'em2003 Legends of Poker, Los Angeles (Bell Gardens)",4th,$ 924,924,4,300.0,1502609
2003-10-03,"$ 5,000 + 150 No Limit Hold'em - Main Event2003 Four Queens Poker Classic, Las Vegas",6th,"$ 9,940",9940,6,5000.0,1512549
2003-11-22,"$ 10,000 + 200 No Limit Hold'em - Main Event2003 Showdown at the Sands, Atlantic City",6th,"$ 41,995",41995,6,10000.0,1554544
2003-12-11,"$ 2,500 + 100 Pot Limit Hold'em2003 Bellagio Five-Diamond World Poker Classic, Las Vegas",4th,"$ 1,100",1100,4,2500.0,1555644
2004-01-24,"$ 7,500 No Limit Hold'emPokerStars Caribbean Adventure - PCA 2004, Caribbean",3rd,"$ 46,740",46740,3,7500.0,1602384
2004-03-03,"$ 5,000 + 200 WPT No Limit Hold'em Championship Final DayWorld Poker Tour - WPT Bay 101 Shooting Star, San Jose",17th,"$ 4,685",4685,17,5000.0,1607069
2004-03-18,"$ 7,000 Limit Hold'em Championship Final Day2004 - PartyPoker.com Million III Limit Hold'em, Cruise",2nd,"$ 4,050",4050,2,7000.0,1611119
2004-04-19,"$ 25,000 WPT No Limit Hold'em Championship Final DayWorld Poker Tour - WPT Championship, Las Vegas",42nd,$ 770,770,42,25000.0,1611889
2004-04-23,"$ 2,000 No-Limit Hold'em35th World Series of Poker - WSOP 2004, Las Vegas",43rd,"$ 6,180",6180,43,2000.0,1618069
2004-04-28,"$ 1,000 No-Limit Hold'em35th World Series of Poker - WSOP 2004, Las Vegas",3rd,"$ 49,400",49400,3,1000.0,1667469
2004-05-02,"$ 2,500 Limit Hold'em35th World Series of Poker - WSOP 2004, Las Vegas",7th,"$ 2,205",2205,7,2500.0,1669674
2004-05-06,"$ 2,000 Limit Hold'em35th World Series of Poker - WSOP 2004, Las Vegas",1st,"$ 2,460",2460,1,2000.0,1672134
2004-05-08,"$ 1,500 No-Limit Hold'em Shootout35th World Series of Poker - WSOP 2004, Las Vegas",9th,"$ 69,160",69160,9,1500.0,1741294
2004-05-19,"$ 5,000 Pot Limit Omaha35th World Series of Poker - WSOP 2004, Las Vegas",8th,"$ 100,440",100440,8,5000.0,1841734
2004-06-04,"$ 10,000 No Limit Hold'emChampionship Poker at the Plaza, Las Vegas",1st,"$ 22,600",22600,1,10000.0,1864334
2004-07-25,"$ 1,000 + 60 No Limit Hold'em Championship2004 Orleans Open, Las Vegas",6th,"$ 30,828",30828,6,1000.0,1895162
2004-09-01,"No Limit Hold'em - Tournament of Champions World Series of Poker - WSOP Tournament of Champions 2004, Las Vegas",7th,"$ 24,820",24820,7,,1919982
2004-09-19,"$ 10,000 + 300 No Limit Hold'emWorld Poker Tour - WPT Borgata Poker Open, Atlantic City",1st,"$ 21,170",21170,1,10000.0,1941152
2004-12-14,"$ 15,000 + 300 World Poker Tour Championship - No Limit Hold'emFive-Diamond World Poker Classic, Las Vegas",1st,"$ 25,850",25850,1,15000.0,1967002
2005-01-05,"$ 7,800 + 200 WPT Main Event - No Limit Hold'emPokerStars Caribbean Adventure - PCA 2005, Paradise Island",75th,"$ 20,079",20079,75,7800.0,1987081
2005-01-24,"$ 10,000 + 200 World Poker Open Championship Event - No Limit Hold'emThe Sixth Annual Jack Binion World Poker Open, Tunica",3rd,"$ 1,200",1200,3,10000.0,1988281
2005-02-25,"PPT - No Limit Hold'em2005 L.A. Poker Classic, Los Angeles",3rd,"$ 7,980",7980,3,,1996261
2005-05-25,"No Limit Hold'em World Poker Tour Battle of Champions III, Las Vegas",4th,"$ 1,558",1558,4,,1997819
2005-06-11,"$ 2,000 Limit Hold'em36th World Series of Poker - WSOP 2005, Las Vegas",36th,"$ 33,266",33266,36,2000.0,2031085
2005-07-03,"$ 3,000 Limit Hold'em36th World Series of Poker - WSOP 2005, Las Vegas",22nd,"$ 1,362",1362,22,3000.0,2032447
2005-07-13,"$ 20,000 No Limit Hold'emFullTiltPoker.Net Championship, Las Vegas",4th,"$ 100,940",100940,4,20000.0,2133387
2006-01-23,"$ 10,000 Championship Event - No Limit Hold'emWSOP Circuit - WSOPC Tunica, Robinsonville",1st,"$ 1,910",1910,1,10000.0,2135297
2006-03-03,"Heads Up No Limit Hold'em2006 National Heads-Up Poker Championship, Las Vegas",5th,"$ 169,100",169100,5,,2304397
2006-04-02,"Heat 4 Poker Superstars Invitational Tournament Season 3, Las Vegas",1st,"$ 1,285",1285,1,4.0,2305682
2006-04-16,"Heat 6 Poker Superstars Invitational Tournament Season 3, Las Vegas",1st,"$ 45,000",45000,1,6.0,2350682
2006-05-01,"No Limit Hold'emCalvin Ayre Wild Card Poker Tournament, San Jose",4th,"$ 13,940",13940,4,,2364622
2006-06-01,"Canada vs Australia Party Poker Football & Poker Legends Cup, London",4th,"$ 13,315",13315,4,,2377937
2006-06-17,"Round 1 - Group AIntercontinental Poker Championship, Las Vegas",7th,"$ 210,980",210980,7,1.0,2588917
2006-06-25,"Round 2 - Group AIntercontinental Poker Championship, Las Vegas",3rd,"$ 1,117,400",1117400,3,2.0,3706317
2006-06-25,"No Limit Hold'em World Series of Poker - WSOP Tournament of Champions 2006, Las Vegas",2nd,"$ 10,415",10415,2,,3716732
2006-06-30,"$ 2,500 Short Handed No Limit Hold'em37th World Series of Poker - WSOP 2006, Las Vegas",8th,"$ 11,600",11600,8,2500.0,3728332
2006-07-03,"$ 2,000 Limit Omaha Hi/Lo37th World Series of Poker - WSOP 2006, Las Vegas",7th,"$ 67,900",67900,7,2000.0,3796232
2006-07-09,"$ 10,000 Pot Limit Omaha37th World Series of Poker - WSOP 2006, Las Vegas",20th,"$ 60,000",60000,20,10000.0,3856232
2006-07-19,"$ 2,500 Pot Limit Hold'em37th World Series of Poker - WSOP 2006, Las Vegas",38th,"$ 192,270",192270,38,2500.0,4048502
2006-07-28,"$ 10,000 No Limit Texas Hold'em - World Championship Event37th World Series of Poker - WSOP 2006, Las Vegas",229th,"$ 3,665",3665,229,10000.0,4052167
2006-11-12,"$ 9,700 + 300 WPT Championship Event - No Limit Hold'em2006 World Poker Finals, Mashantucket",27th,"$ 675,178",675178,27,9700.0,4727345
2006-12-14,"$ 15,000 + 400 WPT Doyle Brunson North American Poker Classic - No Limit Hold'emFifth Annual Five Diamond World Poker Classic, Las Vegas",3rd,"$ 66,000",66000,3,15000.0,4793345
2007-01-06,"$ 7,800 + 200 WPT Championship Event - No Limit Hold'emPokerStars Caribbean Adventure - PCA 2007, Paradise Island",130th,"$ 4,440",4440,130,7800.0,4797785
2007-01-08,"$ 20,000 Week 2 - Play Anything Poker After Dark (PAD) Season I, Las Vegas",1st,"$ 75,000",75000,1,200002.0,4872785
2007-01-21,"$ 10,000 Main Event - No Limit Hold'em2007 Gold Strike World Poker Open, Tunica",2nd,"$ 21,800",21800,2,10000.0,4894585
2007-04-28,"No Limit Hold'emWorld Poker Tour - WPT Poker by the Book: Chapter 2, Las Vegas",5th,"$ 10,000",10000,5,,4904585
2007-06-01,"$ 20,000 Week 6 - Trash Talkers Poker After Dark (PAD) Season II, Las Vegas",5th,"$ 310,000",310000,5,200006.0,5214585
2007-06-01,"$ 20,000 Week 2 - International Poker After Dark (PAD) Season II, Las Vegas",5th,"$ 5,000",5000,5,200002.0,5219585
2007-06-01,"$ 20,000 Week 5 - WPT All-Stars Poker After Dark (PAD) Season II, Las Vegas",4th,"$ 38,852",38852,4,200005.0,5258437
2007-06-12,"$ 1,500 No Limit Hold'em - Shootout38th World Series of Poker - WSOP 2007, Las Vegas",3rd,"$ 12,295",12295,3,1500.0,5270732
2007-06-19,"$ 2,000 Seven Card Stud38th World Series of Poker - WSOP 2007, Las Vegas",5th,"$ 1,770,218",1770218,5,2000.0,7040950
2007-09-07,"No Limit Hold'em - Team EventPokerstars World Cup of Poker, Barcelona",4th,"$ 42,882",42882,4,,7083832
2007-12-12,"$ 15,000 + 400 Doyle Brunson Classic - No Limit Hold'em2007 Doyle Brunson Five Diamond World Poker Classic, Las Vegas",14th,"$ 384,322",384322,14,15000.0,7468154
2008-01-01,"$ 20,000 Week 1 - Dream Table Poker After Dark (PAD) Season III, Las Vegas",5th,"$ 592,000",592000,5,200001.0,8060154
2008-01-07,"$ 20,000 Week 2 - 19th Hole Poker After Dark (PAD) Season III, Las Vegas",4th,"$ 6,725",6725,4,200002.0,8066879
2008-01-20,"$ 300 No Limit Hold'emThe 2nd Annual Jennifer Harman Charity Poker Tournament, Las Vegas",3rd,"$ 120,000",120000,3,300.0,8186879
2008-02-25,"$ 20,000 Week 6 - International Poker After Dark (PAD) Season III, Las Vegas",6th,"$ 755,525",755525,6,200006.0,8942404
2008-04-19,"$ 25,000 + 500 No Limit Hold'em - Championship EventWorld Poker Tour - WPT World Championship, Las Vegas",76th,"$ 101,351",101351,76,25000.0,9043755
2008-06-03,"$ 1,000 No Limit Hold'em39th World Series of Poker - WSOP 2008, Las Vegas",22nd,"$ 10,000",10000,22,1000.0,9053755
2008-06-07,"$ 10,000 World Championship Seven Card Stud39th World Series of Poker - WSOP 2008, Las Vegas",11th,"$ 5,464",5464,11,10000.0,9059219
2008-06-10,"$ 2,000 Limit Hold'em39th World Series of Poker - WSOP 2008, Las Vegas",1st,"$ 325,000",325000,1,2000.0,9384219
2008-06-14,"$ 5,000 Pot Limit Omaha39th World Series of Poker - WSOP 2008, Las Vegas",7th,"$ 39,570",39570,7,5000.0,9423789
2008-06-25,"$ 50,000 H.O.R.S.E.39th World Series of Poker - WSOP 2008, Las Vegas",13th,"$ 48,776",48776,13,50000.0,9472565
2008-09-19,"£ 1,500 + 75 No Limit Hold'emWorld Series Of Poker Europe - WSOPE 2008, London",24th,"$ 33,417",33417,24,1500.0,9505982
2008-09-22,"£ 2,500 + 150 Limit H.O.R.S.E.World Series Of Poker Europe - WSOPE 2008, London",14th,"$ 3,878",3878,14,2500.0,9509860
2008-09-27,"£ 10,000 + 350 World Championship No Limit Hold'emWorld Series Of Poker Europe - WSOPE 2008, London",5th,"$ 123,437",123437,5,10000.0,9633297
2008-10-20,"$ 15,000 + 400 WPT Championship6th Annual Festa Al Lago Classic, Las Vegas",50th,"$ 25,757",25757,50,15000.0,9659054
2008-11-05,"$ 9,700 + 300 No Limit Hold'em - Championship Event2008 World Poker Finals, Mashantucket",35th,"$ 7,830",7830,35,9700.0,9666884
2008-11-20,"C$ 2,500 + 200 No Limit Hold'emBritish Columbia Poker Championships, Richmond",1st,"$ 11,797",11797,1,2500.0,9678681
2009-01-05,"Wold Cup of Poker - Team EventPokerStars Caribbean Adventure - PCA 2009, Paradise Island",9th,"$ 395,024",395024,9,,10073705
2009-03-06,"$ 20,000 No Limit Hold'em NBC National Heads-Up Championship 2009, Las Vegas",5th,"$ 502,691",502691,5,20000.0,10576396
2009-03-23,"$ 20,000 Week 2 - Dream Table III Poker After Dark (PAD) Season V, Las Vegas",5th,"$ 21,320",21320,5,200002.0,10597716
2009-06-01,"$ 10,000 World Championship Seven Card Stud40th World Series of Poker - WSOP 2009, Las Vegas",10th,"$ 21,321",21321,10,10000.0,10619037
2009-06-03,"$ 2,500 Pot Limit Omaha/Hold'em40th World Series of Poker - WSOP 2009, Las Vegas",43rd,"$ 1,000",1000,43,2500.0,10620037
2009-06-05,"$ 2,500 Limit Hold'em - Six Handed40th World Series of Poker - WSOP 2009, Las Vegas",2nd,"$ 96,355",96355,2,2500.0,10716392
2009-06-07,"$ 10,000 World Championship Omaha Hi/Lo40th World Series of Poker - WSOP 2009, Las Vegas",4th,"$ 5,074",5074,4,10000.0,10721466
2009-06-19,"$ 2,000 Limit Hold'em40th World Series of Poker - WSOP 2009, Las Vegas",26th,"$ 16,496",16496,26,2000.0,10737962
2009-06-24,"$ 2,500 Mixed Limit/No Limit Hold'em40th World Series of Poker - WSOP 2009, Las Vegas",37th,"$ 130,401",130401,37,2500.0,10868363
2009-06-28,"$ 1,500 Seven Card Stud Hi/Lo40th World Series of Poker - WSOP 2009, Las Vegas",47th,"$ 204,863",204863,47,1500.0,11073226
2009-06-29,"$ 2,500 Deuce to Seven Triple Draw40th World Series of Poker - WSOP 2009, Las Vegas",16th,"$ 5,757",5757,16,2500.0,11078983
2009-09-21,"$ 20,000 Week 10 - Magnificent Six Poker After Dark (PAD) Season V, Las Vegas",3rd,"$ 142,080",142080,3,200001.0,11221063
2009-09-25,"Caesars Cup - Europe vs USAWorld Series Of Poker Europe - WSOPE 2009, London",2nd,"$ 7,223",7223,2,,11228286
2009-09-26,"£ 10,000 + 350 No Limit Hold'em - WSOPE Main EventWorld Series Of Poker Europe - WSOPE 2009, London",2nd,"$ 10,003",10003,2,10000.0,11238289
2010-02-12,"Heat 1 Party Poker Premier League IV, Las Vegas",8th,"$ 12,000",12000,8,1.0,11250289
2010-02-14,"Heat 3 Party Poker Premier League IV, Las Vegas",5th,"$ 7,105",7105,5,3.0,11257394
2010-02-16,"Heat 5 Party Poker Premier League IV, Las Vegas",4th,"$ 19,310",19310,4,5.0,11276704
2010-02-17,"Heat 6 Party Poker Premier League IV, Las Vegas",1st,"$ 300,708",300708,1,6.0,11577412
2010-02-18,"Heads-Up 2 Party Poker Premier League IV, Las Vegas",1st,"$ 23,537",23537,1,2.0,11600949
2010-02-18,"Final Table Party Poker Premier League IV, Las Vegas",4th,"C$ 371,910",371910,4,,11972859
2010-02-26,"$ 10,000 No Limit Hold'em - Championship Event2010 L.A. Poker Classic, Los Angeles",66th,"$ 25,000",25000,66,10000.0,11997859
2010-06-09,"$ 10,000 World Championship No Limit Deuce to Seven Draw41st World Series of Poker - WSOP 2010, Las Vegas",8th,"$ 75,000",75000,8,10000.0,12072859
2010-06-14,"$ 2,500 No Limit Hold'em - Six Handed41st World Series of Poker - WSOP 2010, Las Vegas",16th,"$ 10,489",10489,16,2500.0,12083348
2010-06-21,"$ 2,500 Seven Card Razz41st World Series of Poker - WSOP 2010, Las Vegas",29th,"$ 36,266",36266,29,2500.0,12119614
2010-06-27,"No Limit Hold'em - Tournament of Champions 41st World Series of Poker - WSOP 2010, Las Vegas",6th,"$ 11,736",11736,6,,12131350
2010-06-30,"$ 25,000 No Limit Hold'em - Six Handed41st World Series of Poker - WSOP 2010, Las Vegas",11th,"$ 138,280",138280,11,25000.0,12269630
2010-09-02,"€ 1,100 No Limit Hold'emEuropean Poker Tour - EPT Vilamoura, Vilamoura",1st,"$ 36,002",36002,1,1100.0,12305632
2010-09-21,"£ 10,000 + 350 No Limit Hold'em - High Roller Heads-UpWorld Series Of Poker Europe - WSOPE 2010, London",8th,"$ 6,169",6169,8,10000.0,12311801
2010-09-29,"£ 5,000 + 250 No Limit Hold'em - EPT Main Event (UKIPT Grand Final)European Poker Tour - EPT London, London",115th,"A$ 36,415",36415,115,5000.0,12348216
2010-10-26,"€ 5,000 + 300 No Limit Hold'em - EPT Main EventEuropean Poker Tour - EPT Vienna, Vienna",4th,"$ 2,690",2690,4,5000.0,12350906
2010-12-07,"A$ 6,000 + 300 No Limit Hold'em - Main EventAsia Pacific Poker Tour - APPT Sydney, Sydney",9th,"$ 9,000",9000,9,6000.0,12359906
2011-01-06,"$ 100,000 + 500 No Limit Hold'em - Super High Roller EventPokerStars Caribbean Adventure - PCA 2011, Paradise Island",2nd,"$ 817,035",817035,2,100000.0,13176941
2011-03-05,"$ 4,750 + 250 Main Event - No Limit Hold'emThe Big Event, Los Angeles (Bell Gardens)",37th,"$ 4,998",4998,37,4750.0,13181939
2011-05-18,"$ 100,000 Super High Roller Event - No Limit Hold'emNinth Annual Five Star World Poker Classic, Las Vegas",3rd,"$ 8,000",8000,3,100000.0,13189939
2011-06-08,"$ 1,500 No Limit Hold'em - Shootout42nd World Series of Poker - WSOP 2011, Las Vegas",88th,"$ 47,107",47107,88,1500.0,13237046
2011-06-23,"$ 5,000 No Limit Hold'em - Six Handed42nd World Series of Poker - WSOP 2011, Las Vegas",20th,"$ 32,000",32000,20,5000.0,13269046
2011-07-07,"$ 10,000 No Limit Hold'em - WSOP Main Event42nd World Series of Poker - WSOP 2011, Las Vegas",211th,"$ 28,176",28176,211,10000.0,13297222
2012-01-05,"$ 100,000 No Limit Hold'em - Super High Roller EventPokerStars Caribbean Adventure - PCA 2012, Paradise Island",5th,"$ 80,000",80000,5,100000.0,13377222
2012-02-17,"R$ 3,700 + 300 No Limit Hold'em - Main EventLatin American Poker Tour - LAPT Sao Paulo Grand Final, Sao Paulo",6th,"R$ 48,730",48730,6,3700.0,13425952
2012-03-06,"$ 100 No Limit Hold'em - Silicon Valley Poker Challenge World Poker Tour - WPT Bay 101 Shooting Star, San Jose",8th,"$ 26,004",26004,8,100.0,13451956
2012-04-05,"€ 10,000 No Limit Hold'em iSeriesLIVE, Dublin",8th,"$ 790,304",790304,8,10000.0,14242260
2012-04-23,"€ 98,500 + 1,500 No Limit Hold'em - Super High Roller 8 MaxEuropean Poker Tour - EPT Monte Carlo Grand Final, Monte Carlo",6th,"$ 5,423",5423,6,98500.0,14247683
2012-04-29,"€ 25,000 + 500 No Limit Hold'em - 8 Max High RollerEuropean Poker Tour - EPT Monte Carlo Grand Final, Monte Carlo",2nd,"$ 5,639",5639,2,25000.0,14253322
2012-05-30,"$ 1,500 Pot Limit Hold'em (Event #5)43rd World Series of Poker - WSOP 2012, Las Vegas",5th,"$ 77,569",77569,5,1500.0,14330891
2012-06-01,"$ 1,500 Omaha Hi/Lo (Event #8)43rd World Series of Poker - WSOP 2012, Las Vegas",45th,"$ 19,272",19272,45,1500.0,14350163
2012-07-02,"$ 1,500 No Limit Hold'em (Event #56)43rd World Series of Poker - WSOP 2012, Las Vegas",104th,"$ 72,576",72576,104,1500.0,14422739
2012-07-05,"$ 10,000 No Limit 2-7 Draw Lowball (Event #60)43rd World Series of Poker - WSOP 2012, Las Vegas",13th,"$ 12,225",12225,13,10000.0,14434964
