Date,Event Name,Placement,Earning,int earning,Ranking,Buy-in,Earning increment
2021-06-08,"$ 10,000 8-Game Mix - U.S. Poker Open #6PokerGO Tour - 2021 PGT U.S. Poker Open, Las Vegas",3rd,"$ 1,356",1356,3,100008.0,45765307
2021-06-25,"$ 10,000 No Limit Hold'em - Wynn MillionsThe Wynn Summer Classic, Las Vegas",114th,"$ 27,099",27099,114,10000.0,45792406
2021-07-02,"$ 600 No Limit Hold'em - MonsterStack ONLINE (WSOP Event #2)World Series of Poker - WSOP ONLINE 2021 (US ONLY), Online",92nd,"$ 4,397",4397,92,600.0,45796803
2021-07-07,"$ 777 No Limit Hold'em - Lucky 7's ONLINE (WSOP Event #7)World Series of Poker - WSOP ONLINE 2021 (US ONLY), Online",66th,"$ 1,616",1616,66,777.0,45798419
2021-07-08,"$ 10,000 No Limit Hold'em - PokerGO Cup #3PokerGO Tour - 2021 PGT PokerGO Cup, Las Vegas",8th,"$ 2,768",2768,8,10000.0,45801187
2021-07-09,"$ 400 No Limit Hold'em - 6-Max ONLINE (WSOP Event #9)World Series of Poker - WSOP ONLINE 2021 (US ONLY), Online",64th,"$ 1,008",1008,64,400.0,45802195
2021-07-10,"$ 25,000 No Limit Hold'em - PokerGO Cup #5PokerGO Tour - 2021 PGT PokerGO Cup, Las Vegas",6th,"$ 1,900",1900,6,25000.0,45804095
2021-07-12,"$ 500 No Limit Hold'em - Turbo Deepstack ONLINE (WSOP Event #12)World Series of Poker - WSOP ONLINE 2021 (US ONLY), Online",62nd,$ 393,393,62,500.0,45804488
2021-07-12,"$ 50,000 No Limit Hold'em - PokerGO Cup #7PokerGO Tour - 2021 PGT PokerGO Cup, Las Vegas",1st,"$ 700,000",700000,1,50000.0,46504488
2021-07-13,"$ 100,000 No Limit Hold'em - PokerGO Cup #8PokerGO Tour - 2021 PGT PokerGO Cup, Las Vegas",4th,"$ 230,000",230000,4,100000.0,46734488
2021-07-22,"$ 600 No Limit Hold'em - Knockout ONLINE (WSOP Event #22)World Series of Poker - WSOP ONLINE 2021 (US ONLY), Online",3rd,"$ 14,890",14890,3,600.0,46749378
2021-07-23,"$ 500 No Limit Hold'em - Turbo ONLINE (WSOP Event #23)World Series of Poker - WSOP ONLINE 2021 (US ONLY), Online",26th,"$ 1,843",1843,26,500.0,46751221
2021-08-03,"$ 2,500 Limit Hold'em Championship ONLINE (Event #3)World Series of Poker - WSOP ONLINE 2021 at GGPoker (International), Online",29th,$ 606,606,29,2500.0,46751827
2021-08-08,"$ 200 No Limit Hold'em - Flip & Go Flip ONLINE (Event #6)World Series of Poker - WSOP ONLINE 2021 at GGPoker (International), Online",97th,"$ 2,477",2477,97,200.0,46754304
2021-08-09,"$ 1,000 No Limit Hold'em - Double Stack ONLINE (Event #12)World Series of Poker - WSOP ONLINE 2021 at GGPoker (International), Online",83rd,"$ 10,247",10247,83,1000.0,46764551
2021-08-10,"$ 5,000 No Limit Hold'em - 6-Handed Championship ONLINE (Event #8)World Series of Poker - WSOP ONLINE 2021 at GGPoker (International), Online",49th,"$ 9,664",9664,49,5000.0,46774215
2021-08-16,"$ 400 Pot Limit Omaha - PLOSSUS ONLINE (Event #17)World Series of Poker - WSOP ONLINE 2021 at GGPoker (International), Online",23rd,"$ 108,000",108000,23,400.0,46882215
2021-08-17,"$ 5,000 Pot Limit Omaha Championship Day 1 ONLINE (Event #13)World Series of Poker - WSOP ONLINE 2021 at GGPoker (International), Online",19th,"$ 13,484",13484,19,5000.0,46895699
2021-08-24,"$ 5,000 No Limit Short Deck Hold'em Championship ONLINE (Event #18)World Series of Poker - WSOP ONLINE 2021 at GGPoker (International), Online",11th,"$ 88,400",88400,11,5000.0,46984099
2021-08-26,"$ 840 No Limit Hold'em - 6-Handed Bounty ONLINE (Event #19)World Series of Poker - WSOP ONLINE 2021 at GGPoker (International), Online",111th,"$ 3,562",3562,111,840.0,46987661
2021-09-08,"$ 10,000 No Limit Hold'em - Poker Masters #2PokerGO Tour - 2021 PGT Poker Masters, Las Vegas",3rd,$ 953,953,3,10000.0,46988614
2021-09-11,"$ 10,000 No Limit Hold'em - Poker Masters #5PokerGO Tour - 2021 PGT Poker Masters, Las Vegas",1st,"$ 178,200",178200,1,10000.0,47166814
2021-09-16,"$ 25,000 No Limit Hold'em - Poker Masters #10PokerGO Tour - 2021 PGT Poker Masters, Las Vegas",3rd,"$ 21,200",21200,3,25000.0,47188014
2021-09-30,"$ 25,000 H.O.R.S.E. (Event #2)52nd World Series of Poker - WSOP 2021, Las Vegas",10th,"$ 46,002",46002,10,25000.0,47234016
2021-10-03,"$ 500 No Limit Hold'em - BIG 500 (Event #2) ONLINEWorld Series of Poker - 2021 WSOP Online Gold Bracelet Events, Online",53rd,"$ 45,000",45000,53,500.0,47279016
2021-10-10,"$ 1,500 Pot Limit Omaha Hi/Lo/Limit Omaha Hi/Lo/Big O - Mixed Games (Event #21)52nd World Series of Poker - WSOP 2021, Las Vegas",18th,"$ 1,208",1208,18,1500.0,47280224
2021-10-10,"$ 1,000 No Limit Hold'em Flip & Go Presented by GGPoker (Event #20)52nd World Series of Poker - WSOP 2021, Las Vegas",124th,"$ 2,155",2155,124,1000.0,47282379
2021-10-10,"$ 400 No Limit Hold'em - Ultra Deepstack (Event #3) ONLINEWorld Series of Poker - 2021 WSOP Online Gold Bracelet Events, Online",45th,"$ 1,661",1661,45,400.0,47284040
2021-10-12,"$ 5,000 No Limit Hold'em - 6 Handed (Event #25)52nd World Series of Poker - WSOP 2021, Las Vegas",22nd,"$ 19,851",19851,22,5000.0,47303891
2021-10-14,"$ 1,000 Pot Limit Omaha - 8 Handed (Event #28)52nd World Series of Poker - WSOP 2021, Las Vegas",140th,"$ 1,603",1603,140,1000.0,47305494
2021-10-16,"$ 3,000 H.O.R.S.E. (Event #32)52nd World Series of Poker - WSOP 2021, Las Vegas",8th,"$ 4,083",4083,8,3000.0,47309577
2021-10-17,"$ 888 Pot Limit Omaha - Crazy 8's 8-Handed (Event #4) ONLINEWorld Series of Poker - 2021 WSOP Online Gold Bracelet Events, Online",56th,"$ 1,545",1545,56,888.0,47311122
2021-10-18,"$ 10,000 Dealer's Choice 6 Handed Championship (Event #36)52nd World Series of Poker - WSOP 2021, Las Vegas",9th,"$ 9,015",9015,9,10000.0,47320137
2021-10-24,"$ 5,000 No Limit Hold'em - 8 Handed (Event #47)52nd World Series of Poker - WSOP 2021, Las Vegas",32nd,"$ 11,601",11601,32,5000.0,47331738
2021-10-24,"$ 1,000 No Limit Hold'em - Championship (Event #5) ONLINEWorld Series of Poker - 2021 WSOP Online Gold Bracelet Events, Online",96th,"$ 8,916",8916,96,1000.0,47340654
2021-10-25,"$ 10,000 No Limit 2-7 Lowball Championship (Event #49)52nd World Series of Poker - WSOP 2021, Las Vegas",8th,"$ 32,162",32162,8,10000.0,47372816
2021-10-31,"$ 50,000 Poker Players Championship (Event #60)52nd World Series of Poker - WSOP 2021, Las Vegas",9th,"$ 11,135",11135,9,50000.0,47383951
2021-10-31,"$ 666 No Limit Hold'em (Event #6) ONLINEWorld Series of Poker - 2021 WSOP Online Gold Bracelet Events, Online",64th,"$ 1,420",1420,64,666.0,47385371
2021-11-17,"$ 3,000 Pot Limit Omaha - 6 Handed (Event #80)52nd World Series of Poker - WSOP 2021, Las Vegas",50th,"$ 103,200",103200,50,3000.0,47488571
2021-11-19,"$ 50,000 Pot Limit Omaha - High Roller (Event #84)52nd World Series of Poker - WSOP 2021, Las Vegas",3rd,"$ 519,764",519764,3,50000.0,48008335
2021-11-20,"$ 50,000 No Limit Hold'em - High Roller (Event #85)52nd World Series of Poker - WSOP 2021, Las Vegas",3rd,"$ 152,000",152000,3,50000.0,48160335
2022-02-07,"$ 25,000 No Limit Hold'em - PokerGO Cup #6PokerGO Tour - 2022 PGT PokerGO Cup, Las Vegas",1st,"$ 350,000",350000,1,25000.0,48510335
2022-02-09,"$ 50,000 No Limit Hold'em - PokerGO Cup #8PokerGO Tour - 2022 PGT PokerGO Cup, Las Vegas",5th,"$ 1,536",1536,5,50000.0,48511871
2022-02-25,"$ 10,000 No Limit Hold'em - Aria High Roller #2PokerGO Tour - PGT Aria High Roller Series 2022, Las Vegas",5th,"$ 28,800",28800,5,10000.0,48540671
2022-02-26,"$ 15,000 No Limit Hold'em - Aria High Roller #3PokerGO Tour - PGT Aria High Roller Series 2022, Las Vegas",4th,"$ 6,846",6846,4,15000.0,48547517
2022-03-02,"$ 15,300 No Limit Hold'em - Wynn High Roller #2PokerGO Tour - PGT Wynn High Rollers, Las Vegas",1st,"$ 216,000",216000,1,15300.0,48763517
2022-03-16,"$ 10,000 No Limit Hold'em - US Poker Open #1PokerGO Tour - 2022 PGT U.S. Poker Open (USPO), Las Vegas",4th,"$ 21,838",21838,4,10000.0,48785355
2022-03-19,"$ 10,000 Big Bet Mix - US Poker Open #4PokerGO Tour - 2022 PGT U.S. Poker Open (USPO), Las Vegas",3rd,"$ 74,200",74200,3,10000.0,48859555
2022-06-08,"$ 2,500 Mixed Triple Draw (A-5,, 2-7, Badugi) (Event #17)53rd World Series of Poker - WSOP 2022, Las Vegas",33rd,"$ 17,526",17526,33,2500.0,48877081
2022-06-09,"$ 25,000 Pot Limit Omaha High Roller 8-Handed (Event #19)53rd World Series of Poker - WSOP 2022, Las Vegas",16th,"$ 57,738",57738,16,25000.0,48934819
2022-06-18,"$ 10,000 Seven Card Stud Hi-Lo 8 or Better (Event #40)53rd World Series of Poker - WSOP 2022, Las Vegas",12th,"$ 25,741",25741,12,10000.0,48960560
2022-06-21,"$ 5,000 No Limit Hold'em - 6-Handed (Event #46)53rd World Series of Poker - WSOP 2022, Las Vegas",106th,"$ 8,807",8807,106,5000.0,48969367
2022-06-24,"$ 2,500 Nine Game Mix - 6-Handed (Event #52)53rd World Series of Poker - WSOP 2022, Las Vegas",13th,"$ 1,614",1614,13,2500.0,48970981
2022-06-28,"$ 10,000 No Limit Hold'em - Short Deck - 6-Handed (Event #60)53rd World Series of Poker - WSOP 2022, Las Vegas",15th,"$ 16,449",16449,15,10000.0,48987430
2022-07-03,"$ 500 No Limit Hold'em - Deepstack (NV/NJ Only)World Series of Poker - WSOP ONLINE 2022 (US ONLY), Online",176th,"$ 91,595",91595,176,500.0,49079025
2022-07-10,"$ 1,000 No Limit Hold'em - Online Bracelet Championship (NV/NJ Only)World Series of Poker - WSOP ONLINE 2022 (US ONLY), Online",128th,"$ 5,648",5648,128,1000.0,49084673
2022-07-10,"$ 7,777 No Limit Hold'em - Lucky 7s High Roller (NV/NJ Only)World Series of Poker - WSOP ONLINE 2022 (US ONLY), Online",5th,"$ 88,081",88081,5,7777.0,49172754
2022-07-11,"$ 1,500 Mixed No Limit Hold'em/Pot Limit Omaha - 8-Handed (Event #77)53rd World Series of Poker - WSOP 2022, Las Vegas",18th,"$ 9,844",9844,18,1500.0,49182598
2022-07-12,"$ 3,200 No Limit Hold'em - High Roller 8-Max (NV/NJ Only)World Series of Poker - WSOP ONLINE 2022 (US ONLY), Online",34th,"$ 661,041",661041,34,3200.0,49843639
2022-07-16,"$ 5,000 No Limit Hold'em (Event #87)53rd World Series of Poker - WSOP 2022, Las Vegas",13th,"$ 26,728",26728,13,5000.0,49870367
2022-09-10,"$ 400 No Limit Hold'em Series Kick-Off ONLINE (Online Bracelet Event #1)World Series of Poker - WSOP ONLINE at WSOP.com (NV/NJ), Online",15th,"$ 112,000",112000,15,400.0,49982367
2022-09-18,"$ 365 No Limit Hold'em ONLINE (Online Bracelet Event #7)World Series of Poker - WSOP ONLINE at WSOP.com (NV/NJ), Online",8th,"$ 6,079",6079,8,365.0,49988446
2022-09-22,"$ 10,000 No Limit Hold'em - Poker Masters #2PokerGO Tour - 2022 PGT Poker Masters, Las Vegas",9th,"$ 54,450",54450,9,10000.0,50042896
2022-09-24,"$ 400 Pot-Limit Omaha 6-Max ONLINE (Online Bracelet Event #11)World Series of Poker - WSOP ONLINE at WSOP.com (NV/NJ), Online",11th,"$ 1,656",1656,11,400.0,50044552
2022-09-27,"$ 500 No Limit Hold'em - 6-Max ONLINE (Online Bracelet Event #14)World Series of Poker - WSOP ONLINE at WSOP.com (NV/NJ), Online",34th,"$ 93,000",93000,34,500.0,50137552
2022-10-05,"$ 300,000 No Limit Hold'em - Super High Roller Bowl VIIPokerGO Tour - PGT Super High Roller Bowl VII (SHRB), Las Vegas",1st,"$ 3,312,000",3312000,1,300000.0,53449552
2022-10-16,"$ 1,000 No Limit Hold'em Championship ONLINE (Online Bracelet Event #29)World Series of Poker - WSOP ONLINE at WSOP.com (NV/NJ), Online",23rd,"$ 4,718",4718,23,1000.0,53454270
2022-11-06,"€ 5,000 Pot Limit Omaha (Bracelet Event #6)World Series of Poker Europe - WSOPE 2022, Rozvadov",28th,"$ 8,935",8935,28,5000.0,53463205
2022-11-07,"€ 25,000 No Limit Hold'em - Platinum High Roller (Bracelet Event #8)World Series of Poker Europe - WSOPE 2022, Rozvadov",4th,"$ 20,448",20448,4,25000.0,53483653
2022-12-12,"$ 9,800 + 600 No Limit Hold'em - WPT World ChampionshipWorld Poker Tour - WPT World Championship at Wynn Las Vegas, Las Vegas",17th,"$ 176,200",176200,17,9800.0,53659853
2022-12-21,"No Limit Hold'em - PGT Championship PokerGO Tour - 2022 PGT Championship, Las Vegas",10th,"$ 10,367",10367,10,,53670220
2023-01-11,"$ 10,000 No Limit Hold'em - PokerGO Cup #1PokerGO Tour - 2023 PGT PokerGO Cup, Las Vegas",12th,"$ 18,000",18000,12,10000.0,53688220
2023-01-17,"$ 25,000 No Limit Hold'em - PokerGO Cup #6PokerGO Tour - 2023 PGT PokerGO Cup, Las Vegas",8th,"$ 1,070",1070,8,25000.0,53689290
2023-01-18,"$ 25,000 No Limit Hold'em - PokerGO Cup #7PokerGO Tour - 2023 PGT PokerGO Cup, Las Vegas",3rd,"$ 124,000",124000,3,25000.0,53813290
2023-02-04,"$ 10,000 + 300 H.O.R.S.E. (Event #1)PokerGO Tour - 2023 PGT Mixed Games, Las Vegas",12th,"$ 1,727",1727,12,10000.0,53815017
2023-02-09,"$ 10,000 + 300 Dealer's Choice (Event #6)PokerGO Tour - 2023 PGT Mixed Games, Las Vegas",3rd,"$ 78,400",78400,3,10000.0,53893417
2023-02-10,"$ 25,000 + 500 10-Game Championship (Event #7)PokerGO Tour - 2023 PGT Mixed Games, Las Vegas",6th,"$ 7,659",7659,6,25000.0,53901076
2023-03-06,"$ 10,500 No Limit Hold'em - High RollerWynn Millions Poker Series, Las Vegas",5th,"$ 57,500",57500,5,10500.0,53958576
2023-03-12,"$ 3,000 + 2,000 Pot Limit Omaha - Bounty (Event #2)PokerGO Tour - 2023 PGT PLO Series, Las Vegas",2nd,"$ 2,365",2365,2,3000.0,53960941
2023-03-14,"$ 10,000 Pot Limit Omaha Hi-Lo (Event #4)PokerGO Tour - 2023 PGT PLO Series, Las Vegas",10th,"$ 24,000",24000,10,10000.0,53984941
2023-03-17,"$ 10,000 + 5,000 Pot Limit Omaha - Bounty (Event #7)PokerGO Tour - 2023 PGT PLO Series, Las Vegas",12th,"$ 22,800",22800,12,10000.0,54007741
2023-03-23,"$ 10,000 No Limit Hold'em - U.S. Poker Open #1PokerGO Tour - 2023 U.S. Poker Open, Las Vegas",15th,"$ 21,000",21000,15,10000.0,54028741
2023-03-27,"$ 10,000 Pot Limit Omaha - U.S. Poker Open #4PokerGO Tour - 2023 U.S. Poker Open, Las Vegas",4th,"$ 1,489",1489,4,10000.0,54030230
2023-04-01,"$ 25,000 No Limit Hold'em - U.S. Poker Open #9PokerGO Tour - 2023 U.S. Poker Open, Las Vegas",7th,"$ 47,000",47000,7,25000.0,54077230
2023-05-08,"$ 50,000 No Limit Hold'em - Heads-Up High Stakes Duel 4 PokerGO High Stakes Duel 4 | Round 1 | Negreanu vs Persson, Las Vegas",1st,"$ 3,171",3171,1,50000.0,54080401
2023-05-30,"$ 25,000 No Limit Hold'em - High Roller 6-Handed (Bracelet Event 2)54th World Series of Poker - WSOP 2023, Las Vegas",22nd,"$ 50,000",50000,22,25000.0,54130401
2023-06-01,"$ 5,000 No Limit Hold'em/Pot Limit Omaha (Bracelet Event 6)54th World Series of Poker - WSOP 2023, Las Vegas",63rd,"$ 146,090",146090,63,5000.0,54276491
2023-06-07,"$ 300 No Limit Hold'em - Gladiators of Poker (Bracelet Event 18)54th World Series of Poker - WSOP 2023, Las Vegas",72nd,"$ 5,840",5840,72,300.0,54282331
2023-06-08,"$ 1,000 Pot Limit Omaha (Bracelet Event 21)54th World Series of Poker - WSOP 2023, Las Vegas",99th,"$ 50,000",50000,99,1000.0,54332331
2023-06-11,"$ 400 No Limit Hold'em - 8-Max (Online Bracelet Event 5) (NV/NJ Only)World Series of Poker - WSOP ONLINE 2023 (US ONLY), Online",178th,"$ 1,412",1412,178,400.0,54333743
2023-06-14,"$ 1,500 Pot Limit Omaha (Bracelet Event 34)54th World Series of Poker - WSOP 2023, Las Vegas",16th,"$ 17,400",17400,16,1500.0,54351143
2023-06-15,"$ 10,000 Limit 2-7 Triple Draw Lowball Championship (Bracelet Event 38)54th World Series of Poker - WSOP 2023, Las Vegas",13th,"$ 20,425",20425,13,10000.0,54371568
2023-06-18,"$ 3,000 No Limit Hold'em (Bracelet Event 44)54th World Series of Poker - WSOP 2023, Las Vegas",54th,"$ 85,500",85500,54,3000.0,54457068
2023-06-22,"$ 1,000 Pot Limit Omaha Championship (Online Bracelet Event 9) (NV/NJ Only)World Series of Poker - WSOP ONLINE 2023 (US ONLY), Online",92nd,"$ 1,517",1517,92,1000.0,54458585
2023-06-27,"$ 10,000 Seven Card Stud Hi-Lo 8 or Better Championship (Bracelet Event 63)54th World Series of Poker - WSOP 2023, Las Vegas",17th,"$ 69,810",69810,17,10000.0,54528395
2023-06-29,"$ 10,000 No Limit 2-7 Draw Lowball Championship (Bracelet Event 69)54th World Series of Poker - WSOP 2023, Las Vegas",5th,"$ 81,751",81751,5,10000.0,54610146
2023-07-02,"$ 10,000 Pot Limit Omaha Hi-Lo 8 or Better Championship - 8-Handed (Bracelet Event 75)54th World Series of Poker - WSOP 2023, Las Vegas",26th,"$ 34,200",34200,26,10000.0,54644346
2023-07-07,"$ 1,000 + 500 Pot Limit Omaha Bounty (Bracelet Event 78)54th World Series of Poker - WSOP 2023, Las Vegas",31st,"$ 5,416",5416,31,1000.0,54649762
2023-07-09,"$ 600 No Limit Hold'em - Deepstack Championship (Online Bracelet Event 16) (NVNJ Only)World Series of Poker - WSOP ONLINE 2023 (US ONLY), Online",9th,"$ 77,000",77000,9,600.0,54726762
2023-07-11,"$ 1,000 No Limit Hold'em - 6-Max Championship (Online Bracelet Event 17) (NV/NJ Only)World Series of Poker - WSOP ONLINE 2023 (US ONLY), Online",94th,"$ 1,790",1790,94,1000.0,54728552
2023-07-12,"$ 50,000 No Limit Hold'em - High Roller - 8-Handed (Bracelet Event 84)54th World Series of Poker - WSOP 2023, Las Vegas",14th,"$ 100,000",100000,14,50000.0,54828552
2023-07-14,"$ 1,000 No Limit Hold'em - Flip & GO - Presented by GGPoker (Bracelet Event 89)54th World Series of Poker - WSOP 2023, Las Vegas",106th,"$ 2,000",2000,106,1000.0,54830552
2023-07-15,"$ 2,000 No Limit Hold'em - Freezeout Championship (Online Bracelet Event 18) (NV/NJ Only)World Series of Poker - WSOP ONLINE 2023 (US ONLY), Online",12th,"$ 8,750",8750,12,2000.0,54839302
2023-07-18,"$ 1,000 No Limit Hold'em - Super Turbo (Bracelet Event 95)54th World Series of Poker - WSOP 2023, Las Vegas",80th,"$ 2,838",2838,80,1000.0,54842140
