Date,Event Name,Placement,Earning,int earning,Ranking,Buy-in,Earning increment
2020-08-16,"$ 500 No Limit Hold'em Mini Main Event (Event #63)World Series of Poker - WSOP Online 2020 at GGPoker, Online",1485th,"$ 6,411",6411,1485,500.0,179222
2020-08-18,"$ 600 No Limit Hold'em Deepstack Championship (Event #65)World Series of Poker - WSOP Online 2020 at GGPoker, Online",332nd,"$ 1,424",1424,332,600.0,180646
2020-08-22,"$ 500 Deepstack No-Limit Hold'em (Event #68)World Series of Poker - WSOP Online 2020 at GGPoker, Online",230th,"$ 1,356",1356,230,500.0,182002
2020-08-30,"$ 400 FORTY STACK No Limit Hold'em (Event #76)World Series of Poker - WSOP Online 2020 at GGPoker, Online",5th,"$ 59,796",59796,5,400.0,241798
2020-08-30,"$ 5,000 No Limit Hold'em Main Event (Event #77)World Series of Poker - WSOP Online 2020 at GGPoker, Online",242nd,"$ 1,187",1187,242,5000.0,242985
2020-09-05,"$ 1,050 No Limit Hold'em - Beat the Pros [Bounty] (Event #82)World Series of Poker - WSOP Online 2020 at GGPoker, Online",79th,"$ 9,396",9396,79,1050.0,252381
2021-02-21,"$ 5,000 + 300 No Limit Hold'em MILLIONS Online Main Eventpartypoker MILLIONS Online, Online",19th,"$ 20,124",20124,19,5000.0,272505
2021-08-07,"$ 315 No Limit Hold'em - Bounty Deepstack ONLINE (Event #5)World Series of Poker - WSOP ONLINE 2021 at GGPoker (International), Online",185th,$ 900,900,185,315.0,273405
2021-08-08,"$ 200 No Limit Hold'em - Flip & Go Flip ONLINE (Event #6)World Series of Poker - WSOP ONLINE 2021 at GGPoker (International), Online",298th,"$ 35,084",35084,298,200.0,308489
2021-08-09,"$ 1,000 No Limit Hold'em - Double Stack ONLINE (Event #12)World Series of Poker - WSOP ONLINE 2021 at GGPoker (International), Online",572nd,"$ 2,626",2626,572,1000.0,311115
2021-08-12,"$ 525 No Limit Hold'em - Superstack Turbo Bounty ONLINE (Event #9)World Series of Poker - WSOP ONLINE 2021 at GGPoker (International), Online",53rd,"$ 1,236",1236,53,525.0,312351
2021-08-19,"$ 500 No Limit Hold'em - The BIG 500 ONLINE (Event #14)World Series of Poker - WSOP ONLINE 2021 at GGPoker (International), Online",45th,"$ 3,010",3010,45,500.0,315361
2021-08-22,"$ 5,000 No Limit Hold'em - Main Event Online Championship ONLINE (Event #27)World Series of Poker - WSOP ONLINE 2021 at GGPoker (International), Online",6th,"$ 5,714",5714,6,5000.0,321075
2021-08-26,"$ 840 No Limit Hold'em - 6-Handed Bounty ONLINE (Event #19)World Series of Poker - WSOP ONLINE 2021 at GGPoker (International), Online",215th,"$ 1,971",1971,215,840.0,323046
2021-08-31,"$ 600 No Limit Hold'em - Deepstack Championship ONLINE (Event #23)World Series of Poker - WSOP ONLINE 2021 at GGPoker (International), Online",457th,"$ 603,058",603058,457,600.0,926104
2021-09-04,"$ 777 No Limit Hold'em - $777 LUCKY SEVENS 7-Handed ONLINE (Event #25)World Series of Poker - WSOP ONLINE 2021 at GGPoker (International), Online",74th,"$ 3,204",3204,74,777.0,929308
2021-09-05,"$ 888 No Limit Hold'em - $888 CRAZY EIGHTS ONLINE (Event #26)World Series of Poker - WSOP ONLINE 2021 at GGPoker (International), Online",138th,"$ 1,027",1027,138,888.0,930335
2022-04-04,"€ 1,000 + 80 No Limit Hold'em - High Roller 8-Max Turbo (Event #15)Norwegian Championships 2022, Dublin",3rd,"$ 6,518",6518,3,1000.0,936853
2022-04-06,"€ 1,000 + 80 No Limit Hold'em - High Roller Turbo (Event #28)Norwegian Championships 2022, Dublin",5th,"$ 2,537",2537,5,1000.0,939390
2022-04-28,"€ 1,100 No Limit Hold'em - FPS Monte Carlo Main Event (Event 1)European Poker Tour - EPT Monte Carlo, Monte Carlo",165th,"$ 2,555",2555,165,1100.0,941945
2022-05-06,"€ 2,200 No Limit Hold'em - Deep Stack (Event 42)European Poker Tour - EPT Monte Carlo, Monte Carlo",19th,"$ 5,877",5877,19,2200.0,947822
2022-06-02,"$ 500 No Limit Hold'em - The Housewarming (Event #5)53rd World Series of Poker - WSOP 2022, Las Vegas",2100th,$ 876,876,2100,500.0,948698
2022-06-06,"$ 1,600 No Limit Hold'em - Mid-States Poker Tour (Event 61)Venetian DeepStack Championship Series, Las Vegas",64th,"$ 5,012",5012,64,1600.0,953710
2022-06-18,"$ 320 No Limit Hold'em - Double Stack (Event #8) ONLINEWorld Series of Poker Circuit - WSOPC ONLINE Super Circuit, Online",2nd,"$ 20,638",20638,2,320.0,974348
2022-06-19,"$ 525 No Limit Hold'em - Monster Stack 8-Max (Event #9) ONLINEWorld Series of Poker Circuit - WSOPC ONLINE Super Circuit, Online",35th,"$ 5,622",5622,35,525.0,979970
2022-06-26,"$ 1,000 No Limit Hold'em - Tag Team (Event #55)53rd World Series of Poker - WSOP 2022, Las Vegas",1st,"$ 74,042",74042,1,1000.0,1054012
2022-07-02,"$ 700 No Limit Hold'em - Million Dollar Bounty (Event #68)53rd World Series of Poker - WSOP 2022, Las Vegas",220th,"$ 1,344",1344,220,700.0,1055356
