Date,Event Name,Placement,Earning
21-Jun-2010,"$ 1,500 No Limit Hold'em - Shootout41st World Series of Poker - WSOP 2010, Las Vegas",13th,"$ 22,563"
28-Apr-2010,"€ 5,000 + 250 No Limit Hold'em - Six MaxEuropean Poker Tour - EPT Monte Carlo Grand Final, Monte Carlo",6th,"$ 8,637"
16-Feb-2010,"Heat 5 Party Poker Premier League IV, Las Vegas",6th,"$ 29,288"
13-Feb-2010,"Heat 2 Party Poker Premier League IV, Las Vegas",4th,"$ 6,000"
Dec-2009,"Heat 9 Full Tilt Poker Million VIII, Sky Sports",5th,"$ 12,000"
20-Aug-2009,"HK$ 3,300 + 200 No Limit Hold'emAsian Poker Tour - APT Macau, Macau",1st,"HK$ 76,600"
03-Jul-2009,"$ 10,000 World Championship No Limit Hold'em40th World Series of Poker - WSOP 2009, Las Vegas",108th,"$ 9,883"
30-May-2009,"$ 1,000 No Limit Hold'em40th World Series of Poker - WSOP 2009, Las Vegas",68th,"$ 40,288"
17-Jan-2009,"A$ 100,000 + 500 No Limit Hold'em Challenge2009 Aussie Millions Poker Championship, Melbourne",3rd,"$ 8,062"
29-Nov-2008,"Heat 12 PartyPoker.com Premier League Poker III, London",4th,"A$ 300,000"
27-Nov-2008,"Heat 7 PartyPoker.com Premier League Poker III, London",2nd,"$ 213,111"
25-Nov-2008,"Heat 4 PartyPoker.com Premier League Poker III, London",1st,"$ 6,000"
01-Jul-2008,"$ 1,500 Limit Hold'em - Shootout39th World Series of Poker - WSOP 2008, Las Vegas",88th,"$ 12,000"
25-Jun-2008,"$ 1,000 No Limit Hold'em39th World Series of Poker - WSOP 2008, Las Vegas",24th,"$ 20,000"
15-Jun-2008,"$ 10,000 World Championship Limit Hold'em39th World Series of Poker - WSOP 2008, Las Vegas",5th,"$ 5,055"
04-Jun-2008,"$ 2,000 No Limit Hold'em39th World Series of Poker - WSOP 2008, Las Vegas",7th,"$ 18,144"
12-Apr-2008,"$ 2,500 + 120 No Limit Hold'emWorld Poker Tour - WPT World Championship, Las Vegas",7th,"$ 128,075"
02-Mar-2008,"Finals NBC National Heads-Up Championship 2008, Las Vegas",9th,"$ 94,167"
10-Dec-2007,"$ 5,000 + 180 No Limit Hold'em2007 Doyle Brunson Five Diamond World Poker Classic, Las Vegas",1st,"$ 13,365"
01-Nov-2007,"$ 910 + 90 No Limit Hold'em2007 World Poker Finals, Mashantucket",15th,"$ 25,000"
17-Aug-2007,"$ 4,850 + 150 No Limit Hold'em2007 Legends of Poker, Los Angeles (Bell Gardens)",7th,"$ 523,075"
06-Jul-2007,"$ 10,000 World Championship No Limit Hold'em38th World Series of Poker - WSOP 2007, Las Vegas",493rd,"$ 4,840"
24-Jun-2007,"$ 1,500 Mixed Hold'em (Limit/No Limit)38th World Series of Poker - WSOP 2007, Las Vegas",14th,"$ 14,250"
10-Apr-2007,"$ 3,000 + 180 No Limit Hold'emFifth Annual Five Star World Poker Classic, Las Vegas",1st,"$ 25,101"
25-Mar-2007,"$ 5,000 + 150 No Limit Hold'em - Championship EventWorld Poker Challenge, Reno",1st,"$ 7,309"
21-Jan-2007,"$ 10,000 Main Event - No Limit Hold'em2007 Gold Strike World Poker Open, Tunica",6th,"$ 272,320"
09-Nov-2006,"$ 2,800 + 200 No Limit Hold'em2006 World Poker Finals, Mashantucket",1st,"$ 683,473"
07-Oct-2006,"$ 1,500 + 90 No Limit Hold'emFesta Al Lago V Poker Tournament, Las Vegas",5th,"$ 142,810"
07-Aug-2006,"$ 1,500 No Limit Hold'em37th World Series of Poker - WSOP 2006, Las Vegas",2nd,"$ 312,388"
18-Jul-2006,"$ 1,500 No Limit Hold'em37th World Series of Poker - WSOP 2006, Las Vegas",36th,"$ 22,425"
10-Jul-2006,"$ 1,000 No Limit Hold'em37th World Series of Poker - WSOP 2006, Las Vegas",100th,"$ 92,301"
16-Jun-2006,"$ 10,000 Championship Event - No Limit Hold'emWSOP Circuit - WSOPC Lake Tahoe, Stateline",6th,"$ 8,706"
25-Mar-2006,"$ 2,000 + 80 No Limit Hold'emWorld Poker Challenge 2006, Reno",9th,"$ 4,209"
11-Feb-2006,"$ 1,455 + 125 Limit Hold'em2006 L.A. Poker Classic, Los Angeles",13th,"$ 62,040"
05-Dec-2005,"$ 2,000 + 80 No Limit Hold'emFourth Annual Five Diamond World Poker Classic, Las Vegas",18th,"$ 6,406"
19-Nov-2005,"$ 10,000 Championship Event - No Limit Hold'emWSOP Circuit - WSOPC Las Vegas, Las Vegas",2nd,"$ 13,940"
19-Sep-2005,"$ 9,700 + 300 Championship Event - No Limit Hold'emWorld Poker Tour - WPT Borgata Poker Open, Atlantic City",7th,"$ 4,405"
28-Jun-2005,"$ 2,000 No Limit Hold'em36th World Series of Poker - WSOP 2005, Las Vegas",5th,"$ 251,920"
14-May-2005,"$ 2,000 + 80 Limit Hold'em2005 Mirage Poker Showdown, Las Vegas",7th,"$ 199,820"
16-Mar-2005,"$ 1,500 + 70 No Limit Hold'emRio Las Vegas Poker Festival, Las Vegas",1st,"$ 118,350"
16-Jan-2005,"$ 1,000 + 60 No Limit Hold'emThe Sixth Annual Jack Binion World Poker Open, Tunica",4th,"$ 6,857"
14-Jan-2005,"$ 1,000 + 60 No Limit Hold'emThe Sixth Annual Jack Binion World Poker Open, Tunica",24th,"$ 97,470"
15-Dec-2004,"$ 1,000 No Limit Hold'emFive-Diamond World Poker Classic, Las Vegas",2nd,"$ 30,329"
04-Nov-2004,"$ 220 Limit Hold'em2004 Holiday Bonus Tournament, Los Angeles",19th,"$ 3,232"
19-Oct-2004,"$ 10,000 + 200 The Doyle Brunson North American No Limit Hold'em Poker Championship2004 Festa al Lago III Poker Tournament, Las Vegas",13th,"$ 29,100"
23-Sep-2004,"$ 500 No Limit Hold'em2004 10 Days of Hold'em at the Horseshoe, Las Vegas",8th,$ 310
24-Aug-2004,"$ 500 + 40 No Limit Hold'em2004 Legends of Poker, Los Angeles (Bell Gardens)",20th,"$ 30,000"
13-Jun-2004,"$ 300 + 30 No Limit Hold'em Shootout Final DayCalifornia State Poker Championship 2004, Los Angeles",3rd,"$ 2,720"
22-May-2004,"$ 10,000 World Championship Event35th World Series of Poker - WSOP 2004, Las Vegas",117th,"$ 1,260"
23-Apr-2004,"$ 2,000 No-Limit Hold'em35th World Series of Poker - WSOP 2004, Las Vegas",8th,"$ 5,920"
30-Mar-2004,"$ 5,000 + 100 WPT No Limit Hold'em Championship2004 World Poker Challenge, Reno",22nd,"$ 15,000"
13-Mar-2004,"$ 300 + 30 Limit Hold'em2004 Winnin' o' the Green, Los Angeles (Bell Gardens)",4th,"$ 46,040"
07-Feb-2004,"$ 1,500 + 80 Limit Hold'em2004 L.A. Poker Classic, Los Angeles",4th,"$ 9,802"
16-Nov-2003,"$ 500 + 50 No Limit Hold'em Main Event4th Annual 49'er Gold Rush Bonanza, San Francisco",9th,"$ 5,220"
05-Sep-2003,"$ 300 + 30 Limit Hold'em2003 Heavenly Hold'em, Los Angeles",5th,"$ 81,000"
28-Jun-2003,"$ 50 + 15 Limit Hold'emSan Francisco Open, San Pablo",3rd,"$ 1,800"
14-Mar-2003,"$ 300 + 30 Limit Hold'em2003 World Poker Challenge, Reno",13th,"$ 11,190"
,,,"$ 6,320"
16-Jun-2023,"$ 1,500 No Limit Hold'em - Monster Stack (Bracelet Event 39)54th World Series of Poker - WSOP 2023, Las Vegas",673rd,$ 658
03-Mar-2023,"$ 3,500 No Limit Hold'em - Wynn Millions ChampionshipWynn Millions Poker Series, Las Vegas",74th,
25-Nov-2022,"$ 1,000 No Limit Hold'em - RunGood - Take 1RUNGOOD Poker Series - RGPS Contenders Season Finale Presented by PokerGO, Lincoln",28th,"$ 3,235"
10-Jul-2022,"$ 777 No Limit Hold'em - Lucky 7's - 7-Handed (Event 75)53rd World Series of Poker - WSOP 2022, Las Vegas",354th,"$ 12,760"
