Date,Event Name,Placement,Earning
05-Mar-2012,"$ 9,500 + 500 No Limit Hold'em - Championship BountyWorld Poker Tour - WPT Bay 101 Shooting Star, San Jose",13th,"$ 18,358"
03-Feb-2012,"€ 2,000 + 200 No Limit Hold'emEuropean Poker Tour - EPT Deauville, Deauville",8th,"A$ 71,870"
09-Jan-2012,"$ 5,000 + 250 No Limit Hold'em - 8 MaxPokerStars Caribbean Adventure - PCA 2012, Paradise Island",1st,"$ 75,214"
05-Jan-2012,"$ 100,000 No Limit Hold'em - Super High Roller EventPokerStars Caribbean Adventure - PCA 2012, Paradise Island",4th,"$ 9,541"
19-Oct-2011,"€ 240 No Limit Hold'em - Charity EventWorld Series Of Poker Europe - WSOPE 2011, Cannes",3rd,"$ 51,829"
23-Jun-2011,"$ 5,000 No Limit Hold'em - Six Handed42nd World Series of Poker - WSOP 2011, Las Vegas",15th,"$ 36,390"
11-Mar-2011,"$ 10,000 + 300 Bounty ShootoutThe Big Event, Los Angeles (Bell Gardens)",6th,"$ 21,832"
08-Feb-2011,"No Limit Hold'em - November Nine FreerollMega Stack Challenge XIX, Mashantucket",5th,"$ 1,836"
05-Jul-2010,"$ 10,000 World Championship - No Limit Hold'em41st World Series of Poker - WSOP 2010, Las Vegas",1st,"$ 25,620"
07-Jun-2010,"$ 1,500 No Limit Hold'em - Six Handed41st World Series of Poker - WSOP 2010, Las Vegas",50th,"$ 18,281"
26-Jun-2008,"$ 500 + 50 No Limit Hold'emHeartland Poker Tour - HPT Verona, Verona",9th,"$ 239,830"
14-Aug-2006,"$ 200 + 30 No Limit Hold'emEmpire State Poker Series, Verona",47th,"$ 313,600"
,,,"$ 4,008"
01-Sep-2018,"C$ 2,000 + 200 No Limit Hold'em - High Roller (Event #6)WSOP International Circuit - WSOPC Canada, Kahnawake",28th,"$ 31,135"
02-Jul-2018,"$ 10,000 No Limit Hold'em - Main Event Championship (Event #65)49th World Series of Poker - WSOP 2018, Las Vegas",409th,"$ 58,000"
05-Jun-2018,"$ 1,500 No Limit Hold'em (Event #13)49th World Series of Poker - WSOP 2018, Las Vegas",126th,"$ 1,000"
30-Apr-2018,"C$ 10,000 + 300 No Limit Hold'em - MILLIONS Finale #6partypoker LIVE - partypoker MILLIONS North America, Kahnawake",12th,"$ 8,944,310"
26-Feb-2018,"$ 2,140 Pot Limit Omaha - 8 Max #62World Poker Tour - WPT L.A. Poker Classic, Los Angeles",6th,"$ 5,724"
08-Sep-2017,"C$ 2,000 + 200 No Limit Hold'em - WCC Canadian Poker Championship (Event #28)2017 World Cup of Cards, Kahnawake",115th,"$ 1,929"
23-Jun-2017,"$ 5,000 No Limit Hold'em (Event #45)48th World Series of Poker - WSOP 2017, Las Vegas",74th,$ 369
18-Dec-2016,"No Limit Hold'em - Main Event2016 Tencent Poker Tournament, Sanya",14th,
23-Jun-2016,"$ 10,000 No Limit Hold'em 6-Handed  Championship (Event #39)47th World Series of Poker - WSOP 2016, Las Vegas",28th,"C$ 6,500"
16-Jun-2016,"$ 2,500 No Limit Hold'em (Event #25)47th World Series of Poker - WSOP 2016, Las Vegas",151st,"$ 4,981"
28-Apr-2016,"C$ 1,675 No Limit Hold'em - Main Event (Event #9)WSOP International Circuit - WSOPC Montreal, Montreal",13th,"$ 33,305"
23-Apr-2016,"C$ 1,125 No Limit Hold'em (Event #4)WSOP International Circuit - WSOPC Montreal, Montreal",7th,"$ 2,626"
08-Dec-2015,"$ 1,000 + 90 No Limit Hold'em (Event #5)World Poker Tour - WPT Five Diamond World Poker Classic, Las Vegas",10th,"C$ 30,000"
13-Oct-2015,"€ 2,200 Mixed Event #5World Series of Poker Europe - WSOPE 2015, Berlin",4th,"$ 23,371"
20-Sep-2015,"$ 3,300 + 200 No Limit Hold'em - WPT Borgata Championship Main Event (Event #18)World Poker Tour - WPT Borgata Poker Open, Atlantic City",34th,"$ 6,620"
17-Aug-2015,"$ 1,100 No Limit Hold'em (Event #23)Seminole Hard Rock Poker Open, Hollywood",55th,"C$ 3,000"
05-Jul-2015,"$ 10,000 No Limit Hold'em Main Event (Event #68)46th World Series of Poker - WSOP 2015, Las Vegas",565th,"$ 2,463"
17-Jun-2015,"$ 10,000 No Limit Hold'em Six Handed Championship (Event #37)46th World Series of Poker - WSOP 2015, Las Vegas",21st,"$ 7,442"
10-Jun-2015,"$ 1,500 H.O.R.S.E (Event #24)46th World Series of Poker - WSOP 2015, Las Vegas",54th,"$ 13,749"
29-Apr-2015,"C$ 1,000 + 100 No Limit Hold'em WPT Warm Up (Event #7)World Poker Tour - partypoker.net WPT Canadian Spring Championship, Kahnawake",12th,"$ 20,767"
22-Mar-2015,"€ 5,000 + 300 #27 No Limit Hold'em - EPT Main EventEuropean Poker Tour - EPT Malta, St. Julian’s",85th,"$ 3,797"
13-Jan-2015,"$ 4,850 + 450 #31 No Limit Hold'em - 8 HandedPokerStars Caribbean Adventure - PCA 2015, Paradise Island",1st,"C$ 10,265"
15-Oct-2014,"A$ 25,000 No Limt Hold'em High RollerWorld Series of Poker Asia-Pacific - WSOP APAC 2014, Melbourne",4th,"$ 8,139"
07-Oct-2014,"A$ 5,000 Pot Limit OmahaWorld Series of Poker Asia-Pacific - WSOP APAC 2014, Melbourne",3rd,"C$ 4,961"
22-Jun-2014,"$ 50,000 The Poker Players Championship (Event #46)45th World Series of Poker - WSOP 2014, Las Vegas",13th,"$ 3,915"
22-May-2014,"C$ 3,000 + 300 No Limit Hold'Em - PokerStars Canada Cup Main EventPokerStars Canada Cup, Kahnawake",25th,"$ 2,838"
27-Apr-2014,"€ 1,000 + 100 No Limit Hold'em - Turbo BountyEuropean Poker Tour - EPT Monte Carlo Grand Final, Monte Carlo",20th,"$ 23,951"
27-Mar-2014,"€ 10,000 + 300 No Limit Hold'em EPT High RollerEuropean Poker Tour - EPT Vienna, Vienna",9th,"$ 12,821"
02-Feb-2014,"A$ 10,600 No Limit Hold'em - Main Event2014 Aussie Millions Poker Championship, Melbourne",25th,"$ 2,550"
20-Nov-2013,"$ 125,000 PartyPoker Premier League VIIPlayground Poker Fall Classic 2013, Kahnawake",7th,"$ 17,282"
08-Oct-2013,"£ 2,000 + 200 No Limit Hold'emEuropean Poker Tour - EPT London, London",14th,"$ 22,057"
03-Sep-2013,"€ 2,000 + 200 No Limit Hold'emEuropean Poker Tour - EPT Barcelona, Barcelona",3rd,"$ 3,522"
30-Jun-2013,"$ 50,000 The Poker Players Championship (Event #55)44th World Series of Poker - WSOP 2013, Las Vegas",8th,"C$ 3,240"
13-Jun-2013,"$ 5,000 Omaha Hi/Lo (Event #25)44th World Series of Poker - WSOP 2013, Las Vegas",10th,"$ 2,683"
07-May-2013,"€ 2,000 + 100 No Limit Hold'em - 8 Max Turbo BountyEuropean Poker Tour - EPT Monte Carlo Grand Final, Monte Carlo",10th,"$ 11,736"
01-May-2013,"C$ 1,000 + 100 No Limit Hold'em - DeepstackWorld Poker Tour - partypoker WPT Canadian Spring Championship, Kahnawake",13th,"$ 116,738"
17-Mar-2013,"$ 125,000 No Limit Hold'em PartyPoker.com Premier League Poker VI, London",4th,"A$ 145,003"
26-Feb-2013,"$ 2,080 8 Game2013 L.A. Poker Classic, Los Angeles",4th,"$ 126,735"
05-Feb-2013,"€ 2,000 + 200 No Limit Hold'emEuropean Poker Tour - EPT Deauville, Deauville",4th,"A$ 52,068"
23-Aug-2012,"€ 10,000 + 300 No Limit Hold'em - High RollerEuropean Poker Tour - EPT Barcelona, Barcelona",10th,"$ 45,363"
26-Jun-2012,"$ 3,000 Limit Hold'em (Event #48)43rd World Series of Poker - WSOP 2012, Las Vegas",17th,"$ 99,388"
02-Jun-2012,"$ 1,500 No Limit Hold'em - Re-Entry (Event #9A)43rd World Series of Poker - WSOP 2012, Las Vegas",21st,"C$ 12,990"
22-Feb-2012,"$ 5,100 No Limit Hold'em2012 L.A. Poker Classic, Los Angeles",2nd,"$ 11,901"
12-Jan-2012,"$ 25,000 + 500 No Limit Hold'em 8 Max - High RollerPokerStars Caribbean Adventure - PCA 2012, Paradise Island",2nd,"$ 2,420"
08-Jan-2012,"$ 5,000 + 200 No Limit Hold'em - 8 Max TurboPokerStars Caribbean Adventure - PCA 2012, Paradise Island",5th,"$ 54,938"
24-Nov-2011,"€ 3,000 No Limit Hold'em - Main EventWorld Poker Tour - WPT Marrakech, Marrakech",7th,"A$ 35,000"
02-Oct-2011,"£ 2,000 + 150 No Limit Hold'emEuropean Poker Tour - EPT London, London",6th,"$ 30,619"
04-Jun-2011,"$ 1,000 No Limit Hold'em42nd World Series of Poker - WSOP 2011, Las Vegas",54th,"$ 52,000"
03-Mar-2011,"$ 25,000 No Limit Hold'em NBC National Heads-Up Championship 2011, Las Vegas",4th,"$ 8,537"
30-Jan-2011,"€ 10,000 + 300 No Limit Hold'em - High RollerEuropean Poker Tour - EPT Deauville, Deauville",1st,"$ 83,739"
02-Jul-2010,"$ 2,500 No Limit Hold'em41st World Series of Poker - WSOP 2010, Las Vegas",15th,"$ 207,630"
09-Dec-2008,"€ 5,000 + 250 No Limit Hold'em - EPT Main EventEuropean Poker Tour - EPT Prague, Prague",10th,"$ 19,788"
09-May-2007,"$ 325 + 40 No Limit Hold'em - BountyEast Coast Poker Championships, Verona",9th,"$ 3,999"
