Date,Event Name,Placement,Earning
17-May-2013,"$ 1,500 + 150 No Limit Hold'em - Main EventHeartland Poker Tour - HPT Mount Pleasant, Mount Pleasant",4th,"$ 43,710"
24-Jun-2012,"$ 1,000 No Limit Hold'em (Event #44)43rd World Series of Poker - WSOP 2012, Las Vegas",112th,"$ 2,920"
06-Jun-2012,"$ 1,500 No Limit Hold'em - Shootout (Event #14)43rd World Series of Poker - WSOP 2012, Las Vegas",66th,"$ 5,295"
27-Jun-2011,"$ 10,000 No Limit Hold'em - Six Handed Championship42nd World Series of Poker - WSOP 2011, Las Vegas",26th,"$ 29,228"
02-May-2011,"€ 300 + 30 No Limit Hold'em - TurboEuropean Poker Tour - EPT Sanremo, Sanremo",3rd,"$ 5,903"
11-Jan-2010,"$ 25,000 + 500 No Limit Hold'em - High RollerPokerStars Caribbean Adventure - PCA 2010, Paradise Island",11th,"$ 51,450"
16-Jun-2009,"$ 1,500 No Limit Hold'em40th World Series of Poker - WSOP 2009, Las Vegas",17th,"$ 21,533"
,,,
29-Jun-2023,"$ 700 + 300 No Limit Hold'em - Super Turbo - Bounty (Bracelet Event 68)54th World Series of Poker - WSOP 2023, Las Vegas",112th,"$ 1,879"
16-Jun-2023,"$ 1,500 No Limit Hold'em - Monster Stack (Bracelet Event 39)54th World Series of Poker - WSOP 2023, Las Vegas",7th,"$ 186,149"
31-May-2023,"$ 700 + 300 No Limit Hold'em - Mystery Millions (Bracelet Event 3)54th World Series of Poker - WSOP 2023, Las Vegas",1551st,"$ 1,435"
13-Oct-2022,"$ 1,100 No Limit Hold'em - MSPT Main EventMid-States Poker Tour - MSPT Michigan State Poker Championship, Battle Creek",34th,"$ 8,407"
11-Jul-2022,"$ 2,500 No Limit Hold'em (Event #78)53rd World Series of Poker - WSOP 2022, Las Vegas",80th,"$ 6,823"
30-Jun-2022,"$ 600 Pot Limit Omaha - Deep Stack (Event #64)53rd World Series of Poker - WSOP 2022, Las Vegas",213th,"$ 1,337"
26-Jun-2022,"$ 1,000 No Limit Hold'em - Tag Team (Event #55)53rd World Series of Poker - WSOP 2022, Las Vegas",49th,"$ 1,491"
21-Jun-2022,"$ 5,000 No Limit Hold'em - 6-Handed (Event #46)53rd World Series of Poker - WSOP 2022, Las Vegas",46th,"$ 15,482"
06-Jun-2022,"$ 600 No Limit Hold'em - Deep Stack (Event #11)53rd World Series of Poker - WSOP 2022, Las Vegas",536th,"$ 1,200"
05-Jun-2022,"$ 5,300 No Limit Hold'em - High Roller Freezeout (NV/NJ Only)World Series of Poker - WSOP ONLINE 2022 (US ONLY), Online",26th,"$ 8,175"
24-May-2022,"$ 1,000 No Limit Hold'em - High Roller  6-Max (Ring Event 12)World Series of Poker Circuit - WSOPC ONLINE Circuit Michigan, Online",11th,"$ 1,153"
15-May-2022,"$ 525 No Limit Hold'em - Monster Stack (Ring Event 3)World Series of Poker Circuit - WSOPC ONLINE Circuit Michigan, Online",7th,"$ 2,060"
12-May-2022,"$ 1,100 No Limit Hold'em - MSPT Main EventMid-States Poker Tour - MSPT Michigan State Championship, Battle Creek",43rd,"$ 6,550"
09-Jul-2021,"$ 2,175 + 225 No Limit Hold'em - WPTDeepStacks Main Event (Event #98)DeepStack Championship Poker Series (MSPT, WPT, WPTDS, PokerGO Tour), Las Vegas",32nd,"$ 12,190"
02-Jul-2021,"$ 4,625 + 375 No Limit Hold'em - WPT Venetian (Event #88)DeepStack Championship Poker Series (MSPT, WPT, WPTDS, PokerGO Tour), Las Vegas",124th,"$ 9,270"
01-May-2021,"$ 1,000 No Limit Hold'em - Opening EventRuggles Blue Tournament, West Chester",7th,"$ 4,200"
09-Aug-2019,"$ 5,250 No Limit Hold'em - SHRPO Championship (Event #20)Seminole Hard Rock Poker Open, Hollywood",22nd,"$ 26,210"
