Date,Event Name,Placement,Earning
21-Jun-2016,"$ 5,000 No Limit Hold'em Six-Handed (Event #35)47th World Series of Poker - WSOP 2016, Las Vegas",43rd,"$ 2,439"
05-Jun-2016,"$ 1,000 No Limit Hold'em Top Up Turbo (Event #4)47th World Series of Poker - WSOP 2016, Las Vegas",67th,"$ 9,530"
19-Dec-2015,"$ 1,000 + 90 No Limit Hold'em Turbo (Event #19)World Poker Tour - WPT Five Diamond World Poker Classic, Las Vegas",7th,$ 771
19-Apr-2015,"$ 1,650 No Limit Hold'em Eight Handed (Event #16)World Poker Tour - WPT Seminole Hard Rock Poker Showdown, Hollywood",2nd,"$ 9,523"
04-Dec-2014,"€ 2,000 + 200 No Limit Hold'em - HighrollerBelgian Poker Challenge - Namur, Namur",3rd,"$ 1,982"
28-Aug-2014,"$ 5,300 No Limit Hold'em SHRPO Main Event (#Event 16)2014 Seminole Hard Rock Poker Open, Hollywood",147th,"$ 5,359"
16-Jun-2014,"$ 1,500 No Limit 2-7 Draw Lowball (Event #36)45th World Series of Poker - WSOP 2014, Las Vegas",25th,"$ 26,400"
12-Dec-2013,"$ 1,000 + 100 No Limit Texas Hold'em Main Event2013 Card Player Poker Tour - CPPT Florida, West Palm Beach",19th,"$ 24,698"
29-Nov-2013,"$ 1,650 No Limit Hold'em Championship Main EventRock N' Roll Poker Open, Hollywood",25th,"$ 12,472"
12-Oct-2013,"€ 1,000 + 100 No Limit Hold'em - Re-entry (Event #1)World Series of Poker Europe - WSOPE 2013, Enghien-les-Bains",22nd,"$ 2,837"
22-Aug-2013,"$ 5,300 No Limit Hold'em - Championship EventSeminole Hard Rock 2013 Poker Open, Hollywood",187th,"$ 2,932"
04-Jun-2013,"$ 2,500 No Limit Hold'em - 6 Handed (Event #11)44th World Series of Poker - WSOP 2013, Las Vegas",28th,"$ 5,133"
09-May-2013,"$ 1,000 + 80 No Limit Hold'emWorld Poker Tour - WPT World Championship, Las Vegas",4th,"$ 6,216"
07-May-2013,"$ 1,000 + 80 No Limit Hold'emWorld Poker Tour - WPT World Championship, Las Vegas",2nd,"$ 11,635"
04-Dec-2012,"$ 10,000 + 300 No Limit Hold'em - Championship EventWorld Poker Tour - WPT Five Diamond World Poker Classic, Las Vegas",40th,"$ 11,435"
04-Aug-2012,"$ 4,000 + 400 No Limit Hold'em - Main EventWorld Poker Tour - WPT Merit Cyprus Classic, Kyrenia",22nd,"$ 6,548"
12-Jun-2012,"$ 3,000 Pot Limit Omaha (Event #26)43rd World Series of Poker - WSOP 2012, Las Vegas",23rd,"$ 16,684"
21-Apr-2012,"$ 1,050 No Limit Hold'em - Heads-UpSeminole Hard Rock Showdown, Hollywood",2nd,"$ 21,956"
07-Jan-2012,"$ 5,000 + 200 Pot Limit Omaha - 8 Max TurboPokerStars Caribbean Adventure - PCA 2012, Paradise Island",2nd,"$ 10,450"
28-Jun-2011,"$ 1,500 No Limit Hold'em42nd World Series of Poker - WSOP 2011, Las Vegas",77th,"$ 10,757"
09-Jun-2011,"$ 10,000 No Limit Deuce To Seven Draw World Championship42nd World Series of Poker - WSOP 2011, Las Vegas",14th,"$ 12,300"
05-Oct-2010,"£ 10,000 + 300 No Limit Hold'em - High Roller TurboEuropean Poker Tour - EPT London, London",3rd,"$ 75,000"
05-Jul-2010,"$ 1,000 + 80 Pot Limit OmahaBellagio Cup VI, Las Vegas",2nd,"$ 6,189"
08-Jun-2010,"$ 5,000 No Limit Hold'em41st World Series of Poker - WSOP 2010, Las Vegas",68th,"$ 24,043"
01-Jun-2010,"$ 5,000 No Limit Hold'em - Shootout41st World Series of Poker - WSOP 2010, Las Vegas",21st,"$ 148,290"
28-Jan-2010,"$ 545 Omaha/Stud 82010 L.A. Poker Classic, Los Angeles",11th,"$ 49,000"
19-Aug-2009,"HK$ 46,000 + 2,000 JBET Battle of the NationsAsian Poker Tour - APT Macau, Macau",1st,"$ 10,497"
15-Aug-2009,"HK$ 1,000 + 150 No Limit Hold'emAsian Poker Tour - APT Macau, Macau",1st,"$ 16,607"
16-Feb-2009,"$ 9,900 + 100 H.O.R.S.E. - Championship2009 L.A. Poker Classic, Los Angeles",2nd,"$ 1,320"
