Date,Event Name,Placement,Earning
26-Aug-2006,"$ 9,700 + 300 WPT Championship Event - No Limit Hold'em2006 Legends of Poker, Los Angeles (Bell Gardens)",8th,"$ 4,091"
24-Jul-2006,"$ 1,000 7 Card Stud Hi/Lo37th World Series of Poker - WSOP 2006, Las Vegas",24th,"$ 26,235"
08-Jul-2006,"$ 1,000 No Limit Hold'em37th World Series of Poker - WSOP 2006, Las Vegas",25th,"$ 25,000"
28-Jun-2006,"$ 1,500 Pot Limit Hold'em37th World Series of Poker - WSOP 2006, Las Vegas",8th,"$ 88,730"
04-Jun-2006,"$ 10,000 + 200 WPT Championship Event - No Limit Hold'emMandalay Bay Poker Championship, Las Vegas",27th,"$ 4,302"
06-Apr-2006,"$ 9,700 + 300 Championship Event - No Limit Hold'emFoxwoods Poker Classic 2006, Mashantucket",31st,"$ 11,589"
14-Jan-2006,"A$ 100,000 Speed Poker Million Dollar ChallengeCrown Australian Poker Championships 2006, Melbourne",1st,"$ 37,606"
25-Nov-2005,"$ 120,000 No Limit Hold'em $120,000 Full Tilt Poker Invitational, Monte Carlo",2nd,"$ 20,160"
20-Nov-2005,"$ 25,000 No Limit Hold'em2005 Monte Carlo Millions, Monte Carlo",6th,"$ 12,525"
22-Aug-2005,"$ 10,000 Championship Event - No Limit Hold'emWSOP Circuit - WSOPC Tunica, Robinsonville",8th,"A$ 1,000,000"
07-Jul-2005,"$ 10,000 No Limit Texas Hold'em - World Championship Event36th World Series of Poker - WSOP 2005, Las Vegas",31st,"$ 732,901"
24-Jun-2005,"$ 2,500 No Limit Hold'em36th World Series of Poker - WSOP 2005, Las Vegas",26th,"$ 280,000"
13-Jun-2005,"$ 2,000 Pot Limit Omaha36th World Series of Poker - WSOP 2005, Las Vegas",17th,"$ 100,000"
11-Apr-2005,"$ 2,000 + 80 No Limit Hold'emThird Annual Five-Star World Poker Classic, Las Vegas",25th,"$ 51,015"
05-Mar-2005,"Heads-Up No Limit Hold'em2005 National Heads-Up Poker Championship, Las Vegas",5th,"$ 274,090"
06-Dec-2004,"$ 1,500 + 70 Seven Card Stud Hi/LoFive-Diamond World Poker Classic, Las Vegas",10th,"$ 12,145"
02-Dec-2004,"$ 1,500 + 70 Limit Hold'emFive-Diamond World Poker Classic, Las Vegas",8th,"$ 11,565"
07-Nov-2004,"$ 2,000 + 150 Seven Card Stud2004 World Poker Finals, Mashantucket",1st,"$ 3,525"
14-Oct-2004,"$ 1,500 + 70 No Limit Hold'em Final Day2004 Festa al Lago III Poker Tournament, Las Vegas",1st,"$ 75,000"
28-Sep-2004,"$ 6,000 + 200 No Limit Hold'em Final Day2004 Ultimatebet.com Poker Classic, Palm Beach",5th,"$ 2,815"
08-Jul-2004,"$ 10,000 No-Limit Hold'emChampionship Poker, Verona",3rd,"$ 6,053"
18-May-2004,"$ 3,000 No-Limit Hold'em35th World Series of Poker - WSOP 2004, Las Vegas",15th,"$ 41,340"
13-May-2004,"$ 5,000 Seven Card Stud World Championship35th World Series of Poker - WSOP 2004, Las Vegas",6th,"$ 151,485"
28-Apr-2004,"$ 1,000 No-Limit Hold'em35th World Series of Poker - WSOP 2004, Las Vegas",2nd,"$ 130,000"
10-Apr-2004,"$ 5,000 + 150 No Limit Hold'emWorld Poker Tour - WPT Championship, Las Vegas",7th,"$ 125,000"
30-Mar-2004,"$ 5,000 + 100 WPT No Limit Hold'em Championship2004 World Poker Challenge, Reno",16th,"$ 16,180"
24-Feb-2004,"Main Event - No Limit Hold'em World Poker Tour - WPT Invitational, Los Angeles",3rd,"$ 33,840"
16-Jun-2003,"$ 500 + 40 Pot Limit Hold'emCalifornia State Poker Championship 2003, Los Angeles",6th,"$ 193,020"
16-May-2003,"$ 2,500 Pot Limit Omaha34th World Series of Poker - WSOP 2003, Las Vegas",1st,"$ 63,420"
08-May-2003,"$ 5,000 Pot Limit Omaha34th World Series of Poker - WSOP 2003, Las Vegas",7th,"$ 13,070"
20-Apr-2003,"$ 1,500 Pot Limit Hold'em34th World Series of Poker - WSOP 2003, Las Vegas",10th,"$ 18,000"
12-Apr-2003,"$ 2,500 No Limit Hold'emWorld Poker Tour - WPT Championship, Las Vegas",5th,"$ 4,445"
06-Feb-2003,"$ 1,500 + 80 Seven Card Stud Championship2003 L.A. Poker Classic, Los Angeles",1st,"$ 203,840"
07-Dec-2002,"$ 1,000 + 60 Omaha Hi/LoBellagio Five Diamond Poker Classic - 2002, Las Vegas",10th,"$ 13,800"
01-Oct-2002,"$ 1,000 Pot Limit Hold'em2002 Four Queens Poker Classic, Las Vegas",7th,"$ 3,540"
08-Sep-2002,"$ 1,500 Pot Limit Hold'emHall of Fame Poker Classic 2002, Las Vegas",1st,"$ 21,996"
03-Sep-2002,"$ 500 Omaha Hi/LoHall of Fame Poker Classic 2002, Las Vegas",1st,"$ 141,555"
27-Aug-2002,"$ 1,000 + 60 Pot Limit Hold'em2002 Legends of Poker, Los Angeles (Bell Gardens)",4th,"$ 1,559"
02-Aug-2002,"$ 300 + 30 No Limit Hold'em2002 Legends of Poker, Los Angeles (Bell Gardens)",1st,"$ 2,080"
13-Jun-2002,"$ 300 + 30 LowballCalifornia State Poker Championship 2002, Los Angeles",7th,"$ 36,850"
19-May-2002,"$ 1,500 Limit Ace to Five Triple Draw33rd World Series of Poker - WSOP 2002, Las Vegas",1st,"$ 16,500"
03-May-2002,"$ 2,500 7 Card Stud Hi/Lo33rd World Series of Poker - WSOP 2002, Las Vegas",8th,"$ 5,080"
21-Apr-2002,"$ 1,500 Limit Omaha Hi/Lo33rd World Series of Poker - WSOP 2002, Las Vegas",27th,"$ 43,560"
23-Feb-2002,"$ 7,000 + 600 No Limit Hold'em Championship2002 L.A. Poker Classic, Los Angeles",7th,"$ 1,085"
16-Feb-2002,"$ 1,000 + 60 H.O.S.E.2002 L.A. Poker Classic, Los Angeles",16th,"$ 49,620"
08-Feb-2002,"$ 500 + 40 Pot Limit Omaha2002 L.A. Poker Classic, Los Angeles",18th,"$ 5,920"
05-Feb-2002,"$ 300 + 30 7 Card Stud Hi/Lo2002 L.A. Poker Classic, Los Angeles",4th,"$ 2,860"
08-Jan-2002,"$ 500 + 40 Limit Texas Hold'emThe Third Annual Jack Binion World Poker Open, Tunica",15th,"$ 30,000"
14-Dec-2001,"$ 7,500 + 100 No Limit Hold'em Championship2001 United States Poker Championship, Atlantic City",2nd,"$ 1,408"
08-Dec-2001,"$ 1,000 + 60 Omaha Hi/Lo2001 United States Poker Championship, Atlantic City",9th,$ 924
12-Nov-2001,"Final Table (No Limit Hold'em)2001 World Poker Finals, Mashantucket",4th,"$ 5,616"
28-Sep-2001,"$ 200 + 25 Limit Hold'em2001 National Championship of Poker, Inglewood",4th,"$ 2,246"
12-Sep-2001,"$ 200 + 20 Pot Limit Hold'em2001 Heavenly Hold'em, Los Angeles",4th,"$ 131,100"
20-Aug-2001,"$ 1,000 + 60 Omaha Hi-Lo2001 Legends of Poker, Los Angeles (Bell Gardens)",3rd,$ 750
14-Aug-2001,"$ 500 + 40 Pot Limit Hold'em2001 Legends of Poker, Los Angeles (Bell Gardens)",1st,"$ 16,750"
05-Aug-2001,"$ 300 + 30 7 Card Stud Hi-Lo2001 Legends of Poker, Los Angeles (Bell Gardens)",4th,"$ 5,120"
08-Jun-2001,"$ 300 + 30 Limit Hold'emCalifornia State Poker Championship 2001, Los Angeles",25th,"$ 1,476"
30-May-2001,"$ 300 + 30 Pot Limit Hold'em2001 America's Poker Classic, Los Angeles (Bell Gardens)",7th,"$ 8,040"
08-May-2001,"$ 3,000 + 120 Texas Hold'em (pot limit)32nd World Series of Poker - WSOP 2001, Las Vegas",7th,"$ 33,200"
11-Apr-2001,"$ 5,000 + 100 Championship No Limit Hold'emThe Second Annual Jack Binion World Poker Open, Tunica",1st,"$ 3,635"
22-Feb-2001,"$ 1,000 + 60 7 Card Stud2001 L.A. Poker Classic, Los Angeles",4th,"$ 1,390"
16-Feb-2001,"$ 500 + 40 Limit Hold'em2001 L.A. Poker Classic, Los Angeles",24th,"$ 1,070"
09-Feb-2001,"$ 300 + 30 Limit Hold'em2001 L.A. Poker Classic, Los Angeles",6th,"$ 16,440"
17-Jan-2001,"$ 500 + 40 Limit Hold'em1st Annual World Poker Challenge, Reno",16th,"$ 283,240"
03-Dec-2000,"$ 500 + 40 No Limit Hold'em2000 United States Poker Championship, Atlantic City",8th,"$ 56,000"
13-Sep-2000,"$ 200 + 20 No Limit Hold'em2000 Heavenly Hold'em, Los Angeles",4th,$ 741
30-Jul-2000,"$ 300 + 30 No Limit Hold'emGlobal Pot Limit No Limit Open, Los Angeles (Bell Gardens)",1st,"$ 12,065"
16-Jun-2000,"$ 300 + 30 Limit Hold'emCalifornia State Poker Championship 2000, Los Angeles",5th,"$ 1,005"
11-Jun-2000,"$ 300 + 30 H.O.R.S.ECalifornia State Poker Championship 2000, Los Angeles",1st,"$ 2,110"
25-May-2000,"$ 300 + 30 Omaha Hi-Lo2000 America's Poker Classic, Los Angeles (Bell Gardens)",5th,"$ 2,744"
14-Apr-2000,"$ 5,000 + 100 No Limit Hold'em ChampionshipThe First Annual Jack Binion World Poker Open, Tunica",14th,"$ 14,760"
15-Aug-1999,"$ 500 + 40 7 Card Stud Hi-Lo1999 Legends of Poker, Los Angeles (Bell Gardens)",8th,"$ 10,868"
04-Aug-1999,"$ 200 + 25 No Limit Hold'em1999 Heavenly Hold'em, Los Angeles",1st,"$ 33,240"
26-Apr-1999,"$ 1,500 Limit Hold'em30th World Series of Poker - WSOP 1999, Las Vegas",9th,"$ 1,350"
Mar-1999,"$ 200 Seven Card Stud Hi/Lo Split1999 Winnin' o' the Green, Los Angeles (Bell Gardens)",7th,"$ 6,859"
09-Oct-1998,"$ 200 + 20 Limit Hold'emBig Poker Oktober - 1998, Los Angeles (Bell Gardens)",7th,"$ 1,170"
04-Oct-1998,"$ 100 + 15 Crazy Pineapple Hi/Lo SplitBig Poker Oktober - 1998, Los Angeles (Bell Gardens)",2nd,"$ 14,430"
23-Sep-1998,"$ 220 + 25 Bounty Hold'em1998 National Championship of Poker, Inglewood",9th,"$ 14,615"
Aug-1998,"$ 300 No Limit Hold'em1998 Legends of Poker, Los Angeles (Bell Gardens)",2nd,$ 900
06-Aug-1998,"$ 300 + 30 No Limit Hold'em1998 Heavenly Hold'em, Los Angeles",7th,"$ 1,140"
11-Mar-1998,"$ 500 + 40 No Limit Hold'em1998 Four Queens Poker Classic, Las Vegas",5th,"$ 4,000"
20-Feb-1998,"$ 500 + 40 No Limit Hold'em1998 L.A. Poker Classic, Los Angeles",7th,$ 910
31-Jan-1998,"$ 135 + 15 Limit/No Limit Hold'emDrive For Five, Lake Elsinore",1st,"$ 14,820"
Dec-1997,"$ 300 Limit Hold'em1997 Holiday Bonus Tournament, Los Angeles",2nd,"$ 2,110"
24-Oct-1997,"$ 100 + 15 No Limit Hold'emBig Poker Oktober - 1997, Los Angeles (Bell Gardens)",2nd,"$ 2,250"
15-Oct-1997,"No Limit Hold'em10 Days Of Poker, Lake Elsinore",2nd,"$ 4,480"
22-Sep-1997,"$ 50 + 5 Crazy Pineapple Hi/LoLA Poker Open V, Gardena",8th,"$ 5,800"
Sep-1997,"$ 300 7 Card Stud1997 Legends Of Poker, Los Angeles (Bell Gardens)",5th,"$ 21,720"
08-Aug-1997,"Best all around playerHeavenly Hold'em, Los Angeles",2nd,"$ 6,740"
03-Aug-1997,"$ 100 + 20 Limit Hold'emHeavenly Hold'em, Los Angeles",1st,"$ 3,305"
,,,$ 270
16-Jul-2023,"$ 10,000 No Limit Hold'em - Short Deck (Bracelet Event 93)54th World Series of Poker - WSOP 2023, Las Vegas",5th,"$ 1,655"
23-Jan-2023,"$ 9,700 + 600 No Limit Hold'em - PCA Main Event (Event #6)PokerStars Caribbean Adventure - PCA & PSPC 2023, Nassau",68th,"$ 5,000"
14-May-2019,"HK$ 250,000 Short Deck No Limit Hold'em - Ante Only (Event #6)Triton Poker Super High Roller Series Montenegro, Budva",1st,"$ 14,440"
02-Mar-2019,"HK$ 250,000 No Limit Hold'em - Short Deck Ante Only (Event #1)Triton Poker Super High Roller Series Jeju, Jeju",8th,
27-Aug-2018,"€ 5,300 No Limit Hold'em - EPT Main Event (Event #13)European Poker Tour - EPT Barcelona, Barcelona",9th,"$ 62,793"
17-Nov-2017,"€ 4,000 + 300 No Limit Hold'em - Main EventMaster Classics Of Poker (MCOP)2017, Amsterdam",5th,"$ 25,600"
18-Oct-2017,"HK$ 960,000 + 40,000 No Limit Hold'em - Triton Macau Main EventTriton Poker Super High Roller Series Macau, Macau",1st,"HK$ 4,720,000"
18-Jul-2017,"HK$ 960,000 + 40,000 No Limit Hold'em - Main EventTriton Poker Super High Roller Series Montenegro, Budva",4th,"$ 601,358"
02-May-2017,"€ 25,500 No Limit Hold'em - Eight Max Shot Clock (Event 47)PokerStars Championship presented by Monte-Carlo Casino, Monte Carlo",3rd,"HK$ 610,000"
20-Jan-2017,"A$ 24,000 + 1,000 No Limit Hold'em - $25,000 Challenge (Event #9)2017 Aussie Millions Poker Championship, Melbourne",4th,"$ 77,724"
20-Aug-2016,"€ 48,500 + 1,500 No Limit Hold'em - Super High Roller 8 Handed (Event #16)European Poker Tour - EPT Barcelona, Barcelona",11th,"$ 137,740"
08-Dec-2015,"€ 48,500 + 1,500 #19 No Limit Hold'em - Super High RollerEuropean Poker Tour - EPT Prague, Prague",8th,"$ 69,234"
24-Aug-2015,"€ 5,000 + 300 No Limit Hold'em - EPT Main Event #29European Poker Tour - EPT Barcelona, Barcelona",1st,"HK$ 22,410,400"
12-Jun-2014,"$ 10,000 Pot Limit Hold'em (Event #28)45th World Series of Poker - WSOP 2014, Las Vegas",15th,"$ 2,870,092"
02-Feb-2014,"A$ 10,600 No Limit Hold'em - Main Event2014 Aussie Millions Poker Championship, Melbourne",23rd,"HK$ 4,648,000"
21-Jun-2013,"$ 2,500 No Limit Hold'em - 4 Handed (Event #38)44th World Series of Poker - WSOP 2013, Las Vegas",5th,"$ 595,581"
02-Oct-2012,"€ 50,000 + 1,000 No Limit Hold'em - Majestic Roller - Re-EntryWorld Series Of Poker Europe - WSOPE 2012, Cannes",2nd,"$ 290,533"
19-Aug-2012,"€ 5,000 + 300 No Limit Hold'em - EPT Main EventEuropean Poker Tour - EPT Barcelona, Barcelona",8th,"A$ 287,280"
05-Jul-2012,"$ 10,000 No Limit 2-7 Draw Lowball (Event #60)43rd World Series of Poker - WSOP 2012, Las Vegas",6th,"$ 217,636"
30-May-2012,"$ 1,500 Pot Limit Hold'em (Event #5)43rd World Series of Poker - WSOP 2012, Las Vegas",18th,"$ 119,295"
23-May-2012,"$ 100,000 No Limit Hold'em - Super High RollerWorld Poker Tour - WPT World Championship, Las Vegas",3rd,"$ 116,656"
09-Jun-2011,"$ 10,000 No Limit Deuce To Seven Draw World Championship42nd World Series of Poker - WSOP 2011, Las Vegas",1st,"$ 1,164,034"
21-Jan-2011,"A$ 25,000 Full Tilt Poker Invitational Shootout - Heat 3 2011 Aussie Millions Poker Championship, Melbourne",5th,"$ 25,327"
03-Dec-2010,"$ 10,000 + 30 No Limit Hold'em - Championship Event2010 Doyle Brunson Five Diamond World Poker Classic, Las Vegas",92nd,"A$ 40,000"
25-Aug-2010,"$ 9,600 + 400 No Limit Hold'em - High Rollers EventAsian Poker Tour - APT Manila, Manila",1st,"$ 34,993"
19-Jun-2010,"$ 3,000 H.O.R.S.E.41st World Series of Poker - WSOP 2010, Las Vegas",3rd,"$ 54,770"
06-Jun-2010,"$ 10,000 Seven Card Stud Hi/Lo 8 Championships41st World Series of Poker - WSOP 2010, Las Vegas",5th,"$ 782,789"
14-Dec-2009,"$ 15,000 + 400 No Limit Hold'em - Main Event2009 Doyle Brunson Five Diamond World Poker Classic, Las Vegas",11th,"$ 93,500"
02-Oct-2009,"£ 5,000 + 250 No Limit Hold'em - Main EventEuropean Poker Tour - EPT London, London",40th,"$ 41,270"
18-Sep-2009,"£ 1,000 + 75 No Limit Hold'emWorld Series Of Poker Europe - WSOPE 2009, London",43rd,"$ 7,254"
14-Jun-2009,"$ 2,500 Pot Limit Omaha40th World Series of Poker - WSOP 2009, Las Vegas",9th,"$ 526,320"
06-Jun-2009,"$ 1,500 Seven Card Stud40th World Series of Poker - WSOP 2009, Las Vegas",5th,"$ 367,170"
06-Mar-2009,"$ 20,000 No Limit Hold'em NBC National Heads-Up Championship 2009, Las Vegas",9th,"$ 12,669"
27-Sep-2008,"£ 10,000 + 350 World Championship No Limit Hold'emWorld Series Of Poker Europe - WSOPE 2008, London",1st,"$ 43,500"
29-Jun-2008,"$ 1,500 H.O.R.S.E.39th World Series of Poker - WSOP 2008, Las Vegas",35th,"$ 129,553"
08-Jun-2008,"$ 2,000 Omaha Hi/Lo39th World Series of Poker - WSOP 2008, Las Vegas",29th,"$ 97,989"
03-Jun-2008,"$ 1,000 No Limit Hold'em39th World Series of Poker - WSOP 2008, Las Vegas",27th,"$ 57,137"
27-Jan-2008,"$ 9,700 + 300 No Limit Hold'em - Championship EventWorld Poker Tour - WPT Borgata Winter Open, Atlantic City",40th,"$ 22,605"
06-Sep-2007,"£ 2,500 + 150 H.O.R.S.E2007 World Series Of Poker - Europe, London",14th,"$ 4,621"
21-Jun-2007,"$ 1,500 No Limit Hold'em38th World Series of Poker - WSOP 2007, Las Vegas",61st,"$ 24,207"
11-Jun-2007,"$ 2,000 Seven Card Stud Hi/Lo 8 or Better38th World Series of Poker - WSOP 2007, Las Vegas",21st,"$ 25,633"
04-Jun-2007,"$ 5,000 Pot Limit Omaha38th World Series of Poker - WSOP 2007, Las Vegas",7th,"$ 25,000"
16-Apr-2007,"$ 20,000 Week 9 - Loose Lips Poker After Dark (PAD) Season I, Las Vegas",1st,"$ 1,580,096"
