Date,Event Name,Placement,Earning
10-Jul-2018,"$ 5,000 No Limit Hold'em - 30 Min Levels (Event #71)49th World Series of Poker - WSOP 2018, Las Vegas",26th,"$ 517,000"
22-May-2018,"$ 25,000 No Limit Hold'em - ARIA 25K High RollerAria High Roller 84, Las Vegas",3rd,"$ 13,110"
16-Feb-2018,"€ 10,000 + 300 No Limit Hold'em - High Rollerpartypoker LIVE - partypoker MILLIONS Germany, Rozvadov",4th,"$ 116,000"
19-Jan-2018,"$ 3,500 No Limit Hold'em - WPT Main Event #152018 World Poker Tour - WPT Lucky Hearts Poker Open, Hollywood",85th,"$ 124,797"
07-Jan-2018,"$ 25,000 No Limit Hold'em - REG Charity EventPokerStars Caribbean Adventure - PCA 2018, Paradise Island",2nd,"$ 6,786"
10-Dec-2017,"€ 50,000 No Limit Hold'em - Super High Roller ( Event #9 )PokerStars Championship Prague, Prague",6th,"$ 185,776"
22-Nov-2017,"$ 5,000 + 300 No Limit Hold'em - #5 MILLIONS Finalepartypoker LIVE - partypoker Caribbean Poker Party, Punta Cana",11th,"$ 134,385"
13-Sep-2017,"$ 50,000 No Limit Hold'em - Event #12017 Poker Masters, Las Vegas",6th,"$ 22,500"
22-Aug-2017,"€ 25,500 No Limit Hold'em - 8 Handed -#24PokerStars Championship Barcelona, Barcelona",17th,"$ 153,000"
15-Aug-2017,"€ 10,200 No Limit Hold'em - Turbo #2PokerStars Championship Barcelona, Barcelona",2nd,"$ 50,739"
10-Jul-2017,"$ 24,000 + 1,000 No Limit Hold'em - High RollerAria High Roller 67, Las Vegas",4th,"$ 83,071"
16-Jun-2017,"$ 24,000 + 1,000 No Limit Hold'em - High RollerAria High Roller 62, Las Vegas",2nd,"$ 86,400"
09-Jun-2017,"$ 24,000 + 1,000 No Limit Hold'em - High RollerAria High Roller 60, Las Vegas",2nd,"$ 272,080"
22-Apr-2017,"£ 2,500 + 200 No Limit Hold'em - 6 Maxpartypoker LIVE - partypoker MILLIONS Dusk Till Dawn, Nottingham",9th,"$ 269,208"
19-Mar-2017,"$ 10,300 No Limit Hold'em (Event #42)PokerStars Championship Panama, Panama City",3rd,"$ 12,797"
11-Mar-2017,"$ 1,100 No Limit Hold'em - PokerStars National Championship (Event #4)PokerStars Championship Panama, Panama City",119th,"$ 44,140"
22-Feb-2017,"$ 5,250 No Limit Hold'em #53World Poker Tour - WPT L.A. Poker Classic, Los Angeles",1st,"$ 1,920"
22-Jan-2017,"A$ 10,000 + 600 No Limit Hold'em - Main Event (Event #11)2017 Aussie Millions Poker Championship, Melbourne",10th,"$ 124,240"
07-Jan-2017,"$ 2,000 + 200 No Limit Hold'em - PokerStars National Championship  (Event #12)PokerStars Championship Bahamas, Paradise Island",20th,"A$ 115,000"
25-Nov-2016,"€ 500 + 50 No Limit Hold'emConcord Million VI, Vienna Simmering",158th,"$ 86,851"
20-Oct-2016,"€ 500 + 50 No Limit Hold'em (Event #12)European Poker Tour - EPT Malta, St. Julian’s",1st,"$ 7,440"
28-Aug-2016,"€ 2,000 + 150 No Limit Hold'em - Turbo 6 Handed (Event #61)European Poker Tour - EPT Barcelona, Barcelona",24th,"$ 1,740"
14-Aug-2016,"$ 2,650 No Limit Hold'em (Event #23)2016 Seminole Hard Rock Poker Open, Hollywood",4th,"$ 11,109"
09-Jul-2016,"$ 10,000 No Limit Hold'em Main Event Championship (Event #68)47th World Series of Poker - WSOP 2016, Las Vegas",940th,"$ 4,633"
07-Jul-2016,"$ 1,000 No Limit Hold'em (Event #63)47th World Series of Poker - WSOP 2016, Las Vegas",339th,"$ 73,900"
20-Jun-2016,"$ 1,500 No Limit Hold'em Summer Solstice (Event #33)47th World Series of Poker - WSOP 2016, Las Vegas",2nd,"$ 15,000"
12-Jun-2016,"$ 1,000 No Limit Hold'em (Event #17)47th World Series of Poker - WSOP 2016, Las Vegas",12th,"$ 1,501"
02-Jun-2016,"$ 565 No Limit Hold'em Colossus II (Event #2)47th World Series of Poker - WSOP 2016, Las Vegas",299th,"$ 252,805"
14-Feb-2016,"€ 5,000 + 300 #28 No Limit Hold'em EPT Main EventEuropean Poker Tour - EPT Dublin, Dublin",83rd,"$ 20,460"
10-Dec-2015,"€ 500 + 50 #40 No Limit Hold'em -TurboEuropean Poker Tour - EPT Prague, Prague",26th,"$ 4,375"
25-Oct-2015,"€ 5,000 + 300 #32 No Limit Hold'em EPT Main EventEuropean Poker Tour - EPT Malta, St. Julian’s",69th,"$ 10,239"
05-Jul-2015,"$ 10,000 No Limit Hold'em Main Event (Event #68)46th World Series of Poker - WSOP 2015, Las Vegas",362nd,"$ 1,542"
14-Jun-2015,"$ 1,000 No Limit Hold'em (Event #30)46th World Series of Poker - WSOP 2015, Las Vegas",14th,"$ 11,654"
28-Jan-2015,"€ 700 + 70 No Limit Hold'em - MPS Main EventMega Poker Series - MPS Vienna, Vienna",7th,"$ 24,622"
01-Jul-2014,"$ 565 No Limit Hold'em WPT $1m GTDWorld Poker Tour - partypoker presents WPT500 Aria, Las Vegas",313th,"$ 16,145"
19-Jun-2014,"$ 1,600 No Limit Hold'em #40Deepstack Extravaganza III, Las Vegas",39th,"$ 9,643"
13-Mar-2014,"€ 900 + 90 WPT No Limit Hold'em - Big StackWorld Poker Tour - WPT Venice, Venice",1st,"$ 1,000"
16-Feb-2014,"€ 750 No Limit Texas Hold'em Super BountyGCOP III Vol. 6/6 Grand Final, Rozvadov",2nd,"$ 3,580"
08-Dec-2013,"€ 500 No Limit Hold'emConcord Million III, Vienna Simmering",7th,"$ 15,576"
20-Aug-2013,"$ 1,500 + 100 No Limit Hold'em - BountyWorld Poker Tour - bwin WPT Merit Cyprus Classic, Kyrenia",2nd,"$ 4,900"
18-Feb-2013,"€ 300 No Limit Hold'em - Main EventMontesino Open, Vienna",81st,"$ 28,777"
09-Feb-2012,"€ 500 + 50 No Limit Hold'em - Main EventPokerfirma Open, Berlin",27th,"$ 14,190"
,,,$ 868
03-Aug-2023,"$ 2,700 Mixed Games - 8-Game Mix (Event 32)Seminole Hard Rock Poker Open (SHRPO), Hollywood",6th,"$ 1,749"
12-Jul-2023,"$ 50,000 No Limit Hold'em - High Roller - 8-Handed (Bracelet Event 84)54th World Series of Poker - WSOP 2023, Las Vegas",5th,
07-Jul-2023,"$ 777 No Limit Hold'em - Lucky 7's - 7-Handed (Bracelet Event 77)54th World Series of Poker - WSOP 2023, Las Vegas",328th,"$ 8,360"
26-Jun-2023,"$ 1,500 No Limit 2-7 Lowball Draw (Bracelet Event 60)54th World Series of Poker - WSOP 2023, Las Vegas",39th,"$ 533,561"
20-Jun-2023,"$ 1,500 H.O.R.S.E. (Bracelet Event 47)54th World Series of Poker - WSOP 2023, Las Vegas",96th,"$ 1,246"
18-Jun-2023,"$ 800 No Limit Hold'em - Deep Stack (Bracelet Event 42)54th World Series of Poker - WSOP 2023, Las Vegas",12th,"$ 3,700"
12-Jun-2023,"$ 100,000 No Limit Hold'em - High Roller - 8-Handed (Bracelet Event 29)54th World Series of Poker - WSOP 2023, Las Vegas",14th,"$ 2,631"
07-Jun-2023,"$ 1,500 Limit Badugi (Bracelet Event 20)54th World Series of Poker - WSOP 2023, Las Vegas",72nd,"$ 21,052"
04-Jun-2023,"$ 1,000 No Limit Hold'em - Deepstack (Online Bracelet Event 3) (NV/NJ Only)World Series of Poker - WSOP ONLINE 2023 (US ONLY), Online",48th,"$ 171,034"
31-May-2023,"$ 700 + 300 No Limit Hold'em - Mystery Millions (Bracelet Event 3)54th World Series of Poker - WSOP 2023, Las Vegas",976th,"$ 2,409"
07-Feb-2023,"$ 400 + 40 No Limit Hold'em - Mystery KnockoutEnjoy Poker Tour - Punta del Este, Punta del Este",49th,"$ 3,020"
13-Dec-2022,"€ 2,000 + 100 No Limit Hold'em (Event #29)European Poker Tour - EPT Prague, Prague",5th,"$ 2,000"
07-Dec-2022,"No Limit Hold'em - Vince Vaughn vs Koray Aldemir Vince Vaughn vs. The Champions, Las Vegas",2nd,$ 335
